hood_id,bac,mcgill_tag,building_name,building_num,room,hood_num,pi,workshop,prompt_type,mac_address,gateway_id,tl_flow,tl_open,total_hoods_lab,department,install_time,other_contact,user_type,flag_data,description_notes,installation_notes
mcintyre-910-1,22243,155-VV8-VE12-13-14-910,McIntyre,155,910,1,,NoWorkshop,Control,,,,,,,,,,,Used for 3/4 of the lab work,
mcintyre-910-2,22245,155-VV7-VE12-13-14-910,McIntyre,155,910,2,,NoWorkshop,Control,,,,,,,,,,,,"2/4 hood operators present at workshop, we installed stickers on two hoods- there was only one noted in this document at the time this was written [11-4-13] are we monitroing the other hood?"
mcintyre-910A-1,22247,155-VV6-VE12-13-14-910A,McIntyre,155,910A,1,,NoWorkshop,Control,,,,,,,,,,,,
mcintyre-915-1,22250,155-VV7-VE15-16-17-915,McIntyre,155,915,1,Dr. Cole,Incentive,GradShock,,,,,2,Biochemistry,2013-11-04T09:00:00-05:00,Albert Berghuis,Light,,,"2/5 operators present Jonathan Cole did not do a good job of telling operators to be present, shared competition waver- a couple people signed for their colleagues on te same sheet "
mcintyre-930-1,22256,155-VV9-VE12-13-14-930,McIntyre,155,930,1,,NoWorkshop,Control,,,,,,,,,,,,
mcintyre-900-1,22261,155-VV9-VE18-19-20-900,McIntyre,155,900,1,Dr. Cole,Incentive,GradShock,,,,,1,Biochemistry,2013-11-04T09:00:00-05:00,Albert Berghuis,Light,,,
mcintyre-900-2,22262,155-VV8-VE18-19-20-900,McIntyre,155,900,2,Dr. Cole,Incentive,GradShock,,,,,1,Biochemistry,2013-11-04T09:00:00-05:00,Albert Berghuis,Light,,,
mcintyre-944-1,22266,155-VV2-VE21-22-944,McIntyre,155,944,1,,NoWorkshop,Control,,,,,,,,,,,,
mcintyre-800-1,22275,155-VV5-VE18-19-20-800,McIntyre,155,800,1,Philip E Branton and Sidong Huang,Commitment,GradShock,,,,,2,Biochemistry,2013-11-04T11:30:00-05:00,Albert Berghuis,Light,,"2 hoods, for 1 hood 2/4 operators present for other hood 3/4 operators present, easy installl",
mcintyre-800-2,22276,155-VV7-VE18-19-20-800,McIntyre,155,800,2,Philip E Branton and Sidong Huang,Commitment,GradShock,,,,,2,Biochemistry,2013-11-04T11:30:00-05:00,Albert Berghuis,Light,,,"smooth sticker install, no workshop. "
mcintyre-805-1,22281,155-VV6-VE18-19-20-805,McIntyre,155,805,1,Dr. Uri David Akavia and Myriame Lafrance,NoWorkshop,Control,,,,,1,Biochemistry,,Albert Berghuis,Light,equipment broken,"Broken Hood, Control",
mcintyre-810-1,22286,155-VV4-VE12-13-14-810,McIntyre,155,810,1,Jerry Pelletier,NoWorkshop,GradShock,,,,,2,Biochemistry,2013-10-29T10:00:00-04:00,Patrick Senechal,Light,,,
mcintyre-825-1,22291,155-VV1-VE21-22-825,McIntyre,155,825,1,,NoWorkshop,Control,,,,,,,,,,,,
mcintyre-815-1,22295,155-VV5-VE15-16-17-815,McIntyre,155,815,1,John Silvius/Dr. Josée Dostie,NoWorkshop,GradShock,,,,,2,Biochemistry,2013-10-29T10:30:00-04:00,Albert Berghuis,Light,,"doesn't want to participate, trying to switch test conditions to that of 800 [no workshop, installl grad shock prompt only]  have to talk to other 1/2 of his lab dr. dusty [10-17]. asked him if new test conditions are ok- no workshop = install only for 15 mins. asked for Dr. Dusty as well 8-17 josee.dostie@mcgill.ca --> 8-18 edit: both confirmed this time",
mcintyre-815-2,22296,155-VV4-VE15-16-17-815,McIntyre,155,815,2,John Silvius/Dr. Josée Dostie,NoWorkshop,GradShock,,,,,2,Biochemistry,2013-10-29T10:30:00-04:00,Albert Berghuis,Light,,"doesn't want to participate, trying to switch test conditions to that of 800 [no workshop, installl grad shock prompt only]  have to talk to other 1/2 of his lab dr. dusty [10-17]. asked him if new test conditions are ok- no workshop = install only for 15 mins. asked for Dr. Dusty as well 8-17 josee.dostie@mcgill.ca --> 8-18 edit: both confirmed this time","dr. hales other labs- attended workshop in 110, same workshop but they have electronic screens in addition. signed a competition waver for each hood they used in different rooms. "
mcintyre-1012-1,22315,155-VV8-VE15-16-17-1012,McIntyre,155,1012,1,,NoWorkshop,Control,,,,,,,,,,,,"dr. hales other labs- attended workshop in 110, same workshop but they have electronic screens in addition. signed a competition waver for each hood they used in different rooms. "
mcintyre-1312-1,22328,155-VV17-VE12-13-14-1312,McIntyre,155,1312,1,Dr. Hales,Incentive,GradSocial,00:13:a2:00:40:a8:2a:eb!,00000000-00000000-00409DFF-FF457D17,,,1,Pharmacology,2013-11-04T10:30:00-05:00,Tina Scardochio,Light,,Rarely used,
mcintyre-1307-1,22331,155-VV22-VE18-19-20-1307,McIntyre,155,1307,1,Dr. Hales,Incentive,GradSocial,00:13:a2:00:40:a8:2f:13!,00000000-00000000-00409DFF-FF457D17,,,1,Pharmacology,2013-11-04T10:30:00-05:00,Tina Scardochio,Light,,"responsive group, used twice a week for 1-2hrs","5 operators without Manon St. Louis, but they were eager to update here. Very receptive. Already was a sticker in place in the lower left hand of the sash preventing our measuring sticker- [see image on David's phone]. going forward will place sticker on Right hand side of sash with different arrows. Also there is one inverted fume hood/perfusion tablein 1243 that one person thoguht shared ventialtion w the hood in 1217 [image of perfusion table is on David's phone as well] he will email them shortly"
mcintyre-1317-1,22334, 155-VV19-VE15-16-17-1317,McIntyre,155,1317,1,Dr. Hales,NoWorkshop,Control,,,,,16,,2013-11-04T11:00:00-05:00,Yaned Patricia Gaitan,,,,
mcintyre-1217-1,22341,155-VE12-13-14-1217,McIntyre,155,1217,1,Dr. Ribeiro De Silva,Commitment,GradShock,,,,,1,Pharmacology & Therapeutics,2013-10-29T11:30:00-04:00,Manon St. Louis,Light,,,Farida + 7-10 people total. one woman asked about what would be consider 'best sash on campus' regarding how to win incentive: best or most improved? 9 emails were collected. One person didn't want to be there. We very interested in the competition not so much the energy savings. 
mcintyre-1309-1,22346,155_HOTTE_ROOM1309,McIntyre,155,1309,1,Dr. Szyf,Incentive,GradSocial,00:13:a2:00:40:a8:2a:c9!,00000000-00000000-00409DFF-FF457D17,,,1,Pharmacology,2013-10-28T10:30:00-04:00,Tina Scardochio,Heavy,,"Used very frequently- at any given time, it is in use by someone in the lab",
mcintyre-1003-1,22347,155_HOTTE_ROOM1003,McIntyre,155,1003,1,,NoWorkshop,Control,,,,,,,,,,,,
mcintyre-1002-1,22348,155_HOTTE_ROOM1002,McIntyre,155,1002,1,,NoWorkshop,Control,,,,,,,,,,,,"1 hood in 1314 that is seldom used- the one we implemented on, 1 down the hall- tisue culture- that is used much more + there is no implementation planned for this one. David took picture of this hood. 4 operators present our of 6 total. were receptive"
mcintyre-1314-1,22349,155_HOTTE_ROOM1314,McIntyre,155,1314,1,Dr. Maysinger,Commitment,GradSocial,00:13:a2:00:40:a8:2a:dd!,00000000-00000000-00409DFF-FF457D17,,,1,Pharmacology,2013-10-31T09:30:00-04:00,Tina Scardochio,Light,,Only used to transfer substances,"One reserach (Dr. Trempe) his operators were busy. Had workshop with him, responded with attention and interest. Will be brining others in lab up to speed"
mcintyre-1313-1,22350,155_HOTTE_ROOM1313,McIntyre,155,1313,1,Dr. Trempe + Dr. Machkalyan,Commitment,GradSocial,00:13:a2:00:40:a8:b8:9b!,00000000-00000000-00409DFF-FF457D17,,,1,Pharmacology,2013-10-28T13:00:00-04:00,Tina Scardochio,Light,,Only used to transfer substances,
