hood_id,bac,mcgill_tag,tl_flow,tl_open,building_name,building_num,room,department,pi,other_contact,lab_surface_area,ach_unoccupied,ach_occupied,additional_evac,total_hoods_room,hood_num,max_sash_height,sash_width,face_vel_occupied,face_vel_unoccupied,hood_min_cfm,hood_max_cfm,workshop,prompt_type,install_time,follow_up_date,mac_address,gateway_id,user_type,flag_data,description_notes,installation_notes
ottomaass-230-1,139244,119VV1003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,1,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
ottomaass-230-2,139245,119VV2003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,2,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
ottomaass-230-3,139246,119VV3003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,3,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
ottomaass-230-4,139247,119VV4003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,4,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
ottomaass-230-5,139248,119VV5003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,5,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
ottomaass-230-6,139249,119VV6003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,6,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
ottomaass-230-7,139251,119VV9003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,7,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
ottomaass-230-8,139252,119VV10003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,8,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
ottomaass-230-9,139253,119VV11003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,9,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
ottomaass-230-10,139254,119VV12003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,10,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
ottomaass-230-11,139255,119VV13003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,11,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
ottomaass-230-12,139256,119VV14003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,12,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
ottomaass-230-13,139257,119VV15003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,13,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
ottomaass-230-14,139260,119VV7003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,14,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
ottomaass-230-15,139261,119VV8003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,15,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
ottomaass-230-16,139262,119VV17003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,16,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
ottomaass-230-17,139263,119VV18003C230,,,Otto Maass,119,230,chemistry,,,2265,4,10,1192,17,17,28,50,100,60,200,650,NoWorkshop,Control,,,,,,,,
