bac,avg_percent_open,level,correlation,usage
22243,78.5880644,2,0.911404892,low
22245,75.2431293,2,0.910351998,low
22247,71.93159622,2,0.855401216,low
22250,77.24375227,2,0.961902923,low
22256,78.11561163,2,0.991646274,low
22261,76.40833961,2,0.987755287,low
22262,76.33359042,2,0.953626556,low
22266,79.51150619,2,0.990806318,low
22275,79.1947984,2,0.7241147,high
22276,75.72725488,2,0.949748678,low
22281,1.918829537,0,0.994737378,low
22286,72.46424665,2,0.851012378,low
22291,67.77892132,2,0.846617374,low
22295,77.13205614,2,0.853909635,low
22296,77.01118968,2,0.831656448,low
22315,78.13263412,2,0.933982977,low
22328,75.94996505,2,0.991096171,low
22331,74.95616409,2,0.976344386,low
22334,78.27244944,2,0.422739446,high
22341,98.22692322,2,0.910158295,low
22346,6.497592799,0,0.947291428,low
22347,1.420469699,0,0.87145447,low
22348,4.71218161,0,0.99715818,low
22349,5.014205263,0,0.979341768,low
22350,9.732131777,0,0.948208495,low
22351,14.3203544,0,0.856427193,low
22352,2.024141734,0,0.57512559,high
22353,2.408029577,0,0.801561918,low
22354,17.10165541,0,0.975287644,low
22355,15.8518566,0,0.955520912,low
22356,53.98831728,2,0.988392569,low
22357,38.5658237,1,0.995852888,low
22358,113.137084,2,0.866672976,low
22359,3.642341134,0,0.819905695,low
22360,56.02537191,2,0.968378558,low
22361,4.459715475,0,0.706086349,high
22362,44.62586747,1,0.958734324,low
22363,7.897870735,0,0.84096976,low
22364,6.177637912,0,0.949710913,low
22365,1.191297672,0,0.595762552,high
22366,0.958788812,0,0.803301305,low
22367,73.86798691,2,0.9707021,low
22369,4.633252108,0,0.975376641,low
22370,8.250686961,0,0.917403752,low
22371,6.954224069,0,0.93572841,low
22372,8.238398757,0,0.962312521,low
22373,1.610024537,0,0.999951755,low
22374,13.61834169,0,0.971580005,low
22375,2.098915624,0,0.99999531,low
22376,0,0,nan,low
22377,8.182130257,0,0.992792224,low
22378,0.861937061,0,0.573216535,high
22379,39.27283102,1,0.990739355,low
22380,105.7598903,2,0.997151789,low
22381,0,0,nan,low
22382,7.225024156,0,0.992623703,low
22383,0.799721478,0,0.999568514,low
