bac,correlation,usage
139030,0.410609432,high
22334,0.422739446,high
139032,0.482671869,high
139028,0.528848512,high
139033,0.538994355,high
139029,0.56298582,high
22378,0.573216535,high
22352,0.57512559,high
22365,0.595762552,high
139225,0.6246006,high
139015,0.638384287,high
139058,0.643339898,high
139016,0.647658025,high
139017,0.655764808,high
139237,0.67226946,high
139027,0.686439488,high
139061,0.691106621,high
139026,0.692081971,high
139053,0.693445545,high
139229,0.696497711,high
139018,0.696804505,high
139232,0.697838297,high
139233,0.703337818,high
22361,0.706086349,high
139050,0.720338367,high
22275,0.7241147,high
139238,0.728164377,high
139062,0.735515749,high
139014,0.762830692,high
139230,0.778045692,high
139228,0.778413853,high
139020,0.784325546,high
139031,0.787406993,high
139019,0.79275365,high
139253,0.794284818,high
139059,0.799234849,low
22353,0.801561918,low
22366,0.803301305,low
139060,0.807347512,low
139268,0.810484337,low
139438,0.815157453,low
139433,0.817554175,low
139223,0.819602616,low
22359,0.819905695,low
139048,0.825998504,low
22296,0.831656448,low
139246,0.839556278,low
22363,0.84096976,low
139063,0.846110945,low
22291,0.846617374,low
139285,0.846847006,low
139257,0.849486337,low
139247,0.850371188,low
22286,0.851012378,low
22295,0.853909635,low
139007,0.854309639,low
22247,0.855401216,low
22351,0.856427193,low
139256,0.860810219,low
139245,0.864494834,low
139231,0.864496808,low
139006,0.866073365,low
139255,0.86620417,low
22358,0.866672976,low
139051,0.868886671,low
22347,0.87145447,low
139047,0.881706658,low
139279,0.883394485,low
139283,0.88982418,low
139262,0.895735241,low
139008,0.896030766,low
139282,0.900088147,low
139277,0.900873484,low
139068,0.902661488,low
22341,0.910158295,low
22245,0.910351998,low
139003,0.910583199,low
139281,0.911096369,low
139437,0.911292814,low
22243,0.911404892,low
139052,0.912841414,low
139261,0.913168234,low
139248,0.913575926,low
22370,0.917403752,low
139280,0.919502103,low
139049,0.921163617,low
139276,0.923466983,low
139251,0.928531063,low
139278,0.932156641,low
22315,0.933982977,low
139252,0.933997507,low
139227,0.934683377,low
22371,0.93572841,low
139446,0.937174462,low
139002,0.937193867,low
139249,0.939473952,low
139046,0.940284872,low
139004,0.941344881,low
139226,0.941714646,low
139436,0.944727863,low
139263,0.944967796,low
22346,0.947291428,low
139445,0.948106372,low
22350,0.948208495,low
22364,0.949710913,low
22276,0.949748678,low
139430,0.950684604,low
139457,0.952091966,low
22262,0.953626556,low
139244,0.954229791,low
22355,0.955520912,low
139447,0.955955038,low
139449,0.956126891,low
22362,0.958734324,low
139451,0.960654921,low
22250,0.961902923,low
22372,0.962312521,low
139222,0.962318249,low
139260,0.964369997,low
22387,0.966316058,low
22360,0.968378558,low
139428,0.96864843,low
22367,0.9707021,low
22374,0.971580005,low
139284,0.973090611,low
139291,0.973197799,low
22354,0.975287644,low
139435,0.975347989,low
22369,0.975376641,low
22331,0.976344386,low
139434,0.976458075,low
139005,0.978186511,low
22384,0.978525471,low
139443,0.979161959,low
22349,0.979341768,low
22390,0.979657396,low
139439,0.980925402,low
22389,0.985834724,low
22388,0.987267587,low
22261,0.987755287,low
22356,0.988392569,low
22379,0.990739355,low
22266,0.990806318,low
22328,0.991096171,low
22256,0.991646274,low
22382,0.992623703,low
22377,0.992792224,low
22385,0.993509815,low
22281,0.994737378,low
22357,0.995852888,low
22380,0.997151789,low
22348,0.99715818,low
139295,0.997343233,low
22391,0.997796127,low
22386,0.999379942,low
22383,0.999568514,low
22373,0.999951755,low
22375,0.99999531,low
22376,nan,low
22381,nan,low
22392,nan,low
22394,nan,low
