laboratory_name,avg_sash_height,ceil_height,surface_area,additional_evac,additional_equipment_max,additional_equipment_min,num_hoods_a,hood_model_a,num_hoods_b,hood_model_b,day_occupancy_rate,night_occupancy_rate,weekend_day_occupancy_rate,weekend_night_occupancy_rate,fumehood_occupancy_rate,day_occupied_ach,day_unoccupied_ach,night_occupied_ach,night_unoccupied_ach,ach_day_start,ach_night_start,cost_cfm,day_occupancy_start,night_occupancy_start,weekend_day_occupancy_start,weekend_night_occupancy_start,notes
PK-6375,0.25,8.3,435,82,0,0,1,VAV-48-770-175,0,NA,0.896195652,0.373913044,0.303804348,0.227445652,0.70615942,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-6465,0.25,8.4,438,80,0,0,1,VAV-48-770-175,0,NA,0.95,0.175,0.25,0.1,0.65,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,"In concept original, but releve says no hoods, made assumptions"
PK-6660,0.625,8.4,743,275,30,30,2,VAV-72-1155-263,0,NA,0.896195652,0.373913044,0.303804348,0.227445652,0.70615942,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,"Not on concept original or Dec 2010 data, made assumptions"
PK-6670,0.125,8.3,667,313,0,0,3,VAV-60-1012-230,0,NA,0.75,0.425,0.25,0.1,0.65,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-6767,0,8.3,106,104,0,0,1,VAV-60-1012-230,0,NA,0.896195652,0.373913044,0.303804348,0.227445652,0.70615942,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-6781,0,8.3,450,219,600,50,2,VAV-48-770-175,0,NA,0.95,0.1,0.1,0.1,0.95,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-6865,0.25,8.4,214,80,0,0,1,VAV-48-770-175,0,NA,0.75,0.175,0.1,0.1,0.65,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-7270,1,8.3,217,85,30,30,1,VAV-48-770-175,0,NA,0.95,0.175,0.25,0.1,0.583333333,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-7360,0,8.4,260,85,30,30,1,VAV-48-770-175,0,NA,0.75,0.25,0.25,0.175,0.95,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-7365,0.5,8.3,435,91,30,30,2,VAV-48-770-175,0,NA,0.95,0.425,0.25,0.1,0.95,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,"Lab modified since concept original, used Dec 2010 data"
PK-7375,0.375,8.3,440,93,30,30,2,VAV-48-770-175,0,NA,0.95,0.5,0.25,0.1,0.95,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,"Lab modified since concept original, used Dec 2010 data"
