,bac,avg_percent_open,level,correlation,usage
26,22352,2.024141734,0,0.57512559,high
35,22361,4.459715475,0,0.7060863490000001,high
39,22365,1.1912976720000001,0,0.5957625520000001,high
51,22378,0.8619370609999999,0,0.573216535,high
79,139019,18.99495862,0,0.79275365,high
81,139026,17.4153068,0,0.6920819709999999,high
93,139050,18.08667078,0,0.720338367,high
96,139053,18.25106446,0,0.693445545,high
97,139058,19.50494943,0,0.643339898,high
100,139061,19.78248376,0,0.691106621,high
106,139225,5.100576673,0,0.6246006,high
109,139228,9.343895477,0,0.778413853,high
110,139229,9.126986262,0,0.6964977109999999,high
111,139230,12.87814371,0,0.7780456920000001,high
114,139233,19.28605037,0,0.703337818,high
125,139253,10.96414783,0,0.794284818,high
