laboratory_name,surface_area,height,ach_occupied_day,ach_unoccupied_day,ach_occupied_night,ach_unoccupied_night,additional_evac,total_hoods,total_hoods,cost_cfm,day_start,night_start,day_start_weekend,ach_day_start,ach_night_start,night_start_weekend,avg_sash_height,fumehood_usage_level,fumehood_occupancy_percent,laboratory_occupancy_rate
OM-1,4915,10,10,4,10,4,-560,15 otto-36,0,5.25,10:00,16:00,10:00,9:00,6:00,16:00,0.5,medium,1,0.8
OM-100,4650,10,10,4,10,4,-560,15 otto-32.5,0,5.25,10:00,16:00,10:00,9:00,6:00,16:00,1.5,medium,0.5,0.8
OM-120,3100,10,10,4,10,4,-830,12 otto-38,0,5.25,10:00,16:00,10:00,9:00,6:00,16:00,2.5,medium,0.5,0.8
OM-200,1423,10,10,4,10,4,-150,6 otto-50,1 otto-84,5.25,10:00,16:00,10:00,9:00,6:00,16:00,3.5,medium,0.5,0.8
OM-230,2719,10,10,4,10,4,-1342,19 otto-38-b,0,5.25,10:00,16:00,10:00,9:00,6:00,16:00,4.5,medium,0.5,0.8
OM-240,3143,10,10,4,10,4,-1576,14 otto-38.5,2 otto-62,5.25,10:00,16:00,10:00,9:00,6:00,16:00,5.5,medium,0.5,0.8
OM-301,3152,10,10,4,10,4,-1171,7 otto-38-c,8 unkown,5.25,08:00,07:00,10:00,9:00,6:00,16:00,50,heavy,0.75,0.8
OM-330,1700,10,10,4,10,4,-1198,12 otto-36,0,5.25,10:00,04:00,na,9:00,6:00,16:00,50,light,0.25,0.8
OM-430,2333,10,10,4,10,4,-1470,14 otto-38-c,0,5.25,10:00,15:30,na,9:00,6:00,16:00,50,medium,0.5,0.8
OM-440,3400,10,10,4,10,4,-1230,8 otto-38-d,8 otto-60,5.25,08:00,07:00,10:00,9:00,6:00,16:00,50,heavy,0.75,0.8
