Time,BAC,AI2,AI11
1382591497,22361,NA,NA
1382591498,22370,NA,NA
1382591498,22371,NA,NA
1382591499,22372,NA,NA
1382591499,22373,NA,NA
1382591499,22374,NA,NA
1382591499,22362,NA,NA
1382591500,22351,NA,NA
1382591515,22331,NA,NA
1382591531,22346,NA,NA
1382591531,22364,NA,NA
1382591547,22328,NA,NA
1382591547,22350,282,73.549995
1382591548,22349,283,41.119999
1382591548,22363,283,24.344999
1382591548,22334,283,78.144997
1382591548,22365,282,0.46
1382591549,22366,282,1.195
1382591549,22376,282,0
1382591549,22360,566,45.689999
1382591550,22377,282,3.87
1382591550,22378,283,0
1382591550,22367,283,69.650002
1382591551,22369,281,0
1382591552,22379,282,54.744999
1382591552,22275,283,79.154999
1382591552,22276,284,76.104996
1382591553,22281,283,1.44
1382591553,22286,278,65.080002
1382591554,22295,212,60.375
1382591554,22296,278,78.305
1382591554,22291,169,66.080002
1382591554,22261,284,63.184998
1382591555,22262,283,60.649998
1382591555,22250,236,77.610001
1382591555,22243,212,79.534996
1382591556,22245,213,76.610001
1382591556,22247,170,73.334999
1382591557,22256,169,69.514999
1382591557,22266,283,51.66
1382591557,22348,284,17.199999
1382591557,22347,212,0
1382591558,22352,283,0
1382591559,22315,NA,79.650002
1382591559,22388,NA,47.145
1382591559,22355,NA,1.8
1382591559,22384,NA,NA
1382591560,22383,NA,NA
1382591560,22391,NA,NA
1382591560,22353,NA,NA
1382591560,22354,NA,NA
1382591561,22375,NA,NA
1382591561,22356,NA,NA
1382591561,22358,NA,NA
1382591561,22359,NA,NA
1382591561,22381,NA,NA
1382591561,22341,NA,NA
1382591561,22382,NA,NA
1382591562,22394,NA,NA
1382591562,22389,NA,NA
1382591562,22390,NA,NA
1382591578,22385,NA,NA
1382591594,22392,NA,NA
1382591610,22386,NA,NA
1382591626,22393,NA,NA
1382591634,22380,283,106.669998
1382591634,22387,282,102.345001
1382591642,22357,141,29.01
1382593437,22361,283,12.924999
1382593438,22370,283,46.09
1382593438,22371,282,62.399998
1382593439,22372,319,26.705
1382593439,22373,283,0
1382593439,22374,282,64.799995
1382593440,22362,283,40.889999
1382593440,22351,283,17.045
1382593441,22331,283,51.514999
1382593441,22346,283,53.399998
1382593441,22364,212,69.260002
1382593441,22328,290,53.785
1382593442,22350,282,73.549995
1382593442,22349,284,41.119999
1382593443,22363,283,24.344999
1382593444,22334,283,78.029999
1382593444,22365,282,0.46
1382593444,22366,282,1.195
1382593445,22376,282,0
1382593445,22360,566,45.689999
1382593445,22377,282,3.8
1382593446,22378,282,0
1382593446,22367,282,69.650002
1382593447,22369,281,0
1382593447,22379,282,54.669998
1382593447,22275,283,79.154999
1382593447,22276,284,76.104996
1382593448,22281,283,1.44
1382593448,22286,212,65.080002
1382593449,22295,211,60.375
1382593449,22296,277,78.305
1382593449,22291,170,66.080002
1382593449,22261,284,63.184998
1382593450,22262,283,60.649998
1382593450,22250,236,77.489998
1382593451,22243,212,79.534996
1382593451,22245,212,76.610001
1382593451,22247,170,73.334999
1382593452,22256,169,69.514999
1382593452,22266,283,51.66
1382593453,22348,283,17.254999
1382593453,22347,212,0
1382593453,22352,283,0
1382593454,22315,237,79.650002
1382593454,22388,353,47.145
1382593455,22355,283,1.8
1382593455,22384,NA,NA
1382593455,22383,NA,2.375
1382593456,22391,NA,34.434998
1382593456,22353,142,1.15
1382593456,22354,142,2.115
1382593457,22375,282,0
1382593457,22356,282,78.305
1382593458,22358,212,103.214996
1382593458,22359,284,21.18
1382593459,22381,142,0
1382593459,22341,227,64.400002
1382593460,22382,282,0
1382593460,22394,19,0
1382593460,22389,283,45.215
1382593461,22390,282,44.744999
1382593461,22385,209,57.799999
1382593461,22392,123,0
1382593462,22386,142,39.09
1382593462,22393,65535,70.979996
1382593462,22380,283,106.669998
1382593463,22387,282,102.345001
1382593464,22357,141,29.01
1382593723,22361,283,12.924999
1382593723,22370,283,46.09
1382593723,22371,282,62.399998
1382593724,22372,319,26.705
1382593725,22373,282,0
1382593725,22374,282,64.799995
1382593725,22362,283,40.889999
1382593726,22351,283,17.045
1382593726,22331,283,51.514999
1382593726,22346,283,53.324997
1382593727,22364,212,69.260002
1382593727,22328,290,53.785
1382593727,22350,282,73.549995
1382593728,22349,283,41.119999
1382593728,22363,283,24.344999
1382593729,22334,283,78.029999
1382593729,22365,282,0.53
1382593730,22366,282,1.195
1382593730,22376,282,0
1382593730,22360,566,45.689999
1382593730,22377,282,3.87
1382593731,22378,282,0
1382593731,22367,282,69.650002
1382593732,22369,281,0
1382593732,22379,282,54.744999
1382593732,22275,283,79.154999
1382593733,22276,285,76.104996
1382593733,22281,283,1.44
1382593734,22286,212,65.080002
1382593734,22295,211,60.375
1382593735,22296,277,78.305
1382593735,22291,169,66.080002
1382593736,22261,283,63.184998
1382593736,22262,282,60.649998
1382593736,22250,236,77.489998
1382593737,22243,212,79.534996
1382593738,22245,213,76.610001
1382593738,22247,170,73.334999
1382593738,22256,169,69.514999
1382593739,22266,283,51.66
1382593739,22348,284,17.254999
1382593740,22347,212,0
1382593740,22352,283,0
1382593740,22315,237,79.650002
1382593740,22388,354,47.145
1382593741,22355,282,1.8
1382593741,22384,282,25.459999
1382593742,22383,282,2.375
1382593742,22391,282,34.434998
1382593742,22353,142,1.15
1382593743,22354,142,2.115
1382593743,22375,282,0
1382593744,22356,282,78.305
1382593744,22358,212,103.214996
1382593745,22359,284,21.18
1382593745,22381,142,0
1382593745,22341,227,64.400002
1382593746,22382,282,0
1382593747,22394,19,0
1382593747,22389,282,45.215
1382593748,22390,282,44.689999
1382593748,22385,209,57.799999
1382593748,22392,123,0
1382593748,22386,142,39.09
1382593749,22393,65535,70.979996
1382593750,22380,283,106.669998
1382593750,22387,282,102.345001
1382593751,22357,141,29.01
1382594085,22361,283,12.924999
1382594086,22370,283,46.09
1382594086,22371,282,62.399998
1382594086,22372,319,26.705
1382594087,22373,282,0
1382594087,22374,282,64.799995
1382594088,22362,283,40.889999
1382594088,22351,283,17.045
1382594089,22331,283,51.514999
1382594089,22346,283,53.324997
1382594090,22364,212,69.184998
1382594090,22328,290,53.785
1382594091,22350,282,73.549995
1382594091,22349,283,41.119999
1382594091,22363,283,24.344999
1382594092,22334,283,78.029999
1382594092,22365,282,0.46
1382594093,22366,282,1.195
1382594093,22376,282,0
1382594093,22360,566,45.689999
1382594093,22377,282,3.87
1382594094,22378,282,0
1382594094,22367,283,69.650002
1382594095,22369,281,0
1382594095,22379,282,54.744999
1382594095,22275,283,79.154999
1382594095,22276,284,76.104996
1382594096,22281,283,1.44
1382594096,22286,212,65.080002
1382594096,22295,212,60.375
1382594097,22296,277,78.305
1382594097,22291,169,66.080002
1382594098,22261,283,63.184998
1382594098,22262,283,60.649998
1382594099,22250,236,77.489998
1382594099,22243,212,79.534996
1382594100,22245,213,76.610001
1382594100,22247,170,73.334999
1382594101,22256,169,69.514999
1382594101,22266,282,51.66
