hood_id,bac,mcgill_tag,hood_num,workshop,laboratory,hood_model,prompt_type,install_time,follow_up_date,mac_address,gateway_id,user_type,flag_data,description_notes,installation_notes
mcintyre-910-1,22243,155-VV8-VE12-13-14-910,1,NoWorkshop,,mcgill-standard,,,,,,,,Used for 3/4 of the lab work,
mcintyre-910-2,22245,155-VV7-VE12-13-14-910,2,NoWorkshop,,mcgill-standard,,,,,,,,,"2/4 hood operators present at workshop, we installed stickers on two hoods- there was only one noted in this document at the time this was written [11-4-13] are we monitroing the other hood?"
mcintyre-910A-1,22247,155-VV6-VE12-13-14-910A,3,NoWorkshop,,mcgill-standard,,,,,,,,,
mcintyre-915-1,22250,155-VV7-VE15-16-17-915,4,Incentive,,mcgill-standard,,2013-11-04T09:00:00-05:00,,,,Light,,,"2/5 operators present Jonathan Cole did not do a good job of telling operators to be present, shared competition waver- a couple people signed for their colleagues on te same sheet "
mcintyre-930-1,22256,155-VV9-VE12-13-14-930,5,NoWorkshop,,mcgill-standard,,,,,,,,,
mcintyre-900-1,22261,155-VV9-VE18-19-20-900,6,Incentive,,mcgill-standard,,2013-11-04T09:00:00-05:00,,,,Light,,,
mcintyre-900-2,22262,155-VV8-VE18-19-20-900,7,Incentive,,mcgill-standard,,2013-11-04T09:00:00-05:00,,,,Light,,,
mcintyre-944-1,22266,155-VV2-VE21-22-944,8,NoWorkshop,,mcgill-standard,,,,,,,,,
mcintyre-800-1,22275,155-VV5-VE18-19-20-800,9,Commitment,,mcgill-standard,,2013-11-04T11:30:00-05:00,,,,Light,,"2 hoods, for 1 hood 2/4 operators present for other hood 3/4 operators present, easy installl",
mcintyre-800-2,22276,155-VV7-VE18-19-20-800,10,Commitment,,mcgill-standard,,2013-11-04T11:30:00-05:00,,,,Light,,,"smooth sticker install, no workshop. "
mcintyre-805-1,22281,155-VV6-VE18-19-20-805,11,NoWorkshop,,mcgill-standard,,,,,,Light,equipment broken,"Broken Hood, Control",
mcintyre-810-1,22286,155-VV4-VE12-13-14-810,12,NoWorkshop,,mcgill-standard,,2013-10-29T10:00:00-04:00,,,,Light,,,
mcintyre-825-1,22291,155-VV1-VE21-22-825,13,NoWorkshop,,mcgill-standard,,,,,,,,,
mcintyre-815-1,22295,155-VV5-VE15-16-17-815,14,NoWorkshop,,mcgill-standard,,2013-10-29T10:30:00-04:00,,,,Light,,"doesn't want to participate, trying to switch test conditions to that of 800 [no workshop, installl grad shock prompt only]  have to talk to other 1/2 of his lab dr. dusty [10-17]. asked him if new test conditions are ok- no workshop = install only for 15 mins. asked for Dr. Dusty as well 8-17 josee.dostie@mcgill.ca --> 8-18 edit: both confirmed this time",
mcintyre-815-2,22296,155-VV4-VE15-16-17-815,15,NoWorkshop,,mcgill-standard,,2013-10-29T10:30:00-04:00,,,,Light,,"doesn't want to participate, trying to switch test conditions to that of 800 [no workshop, installl grad shock prompt only]  have to talk to other 1/2 of his lab dr. dusty [10-17]. asked him if new test conditions are ok- no workshop = install only for 15 mins. asked for Dr. Dusty as well 8-17 josee.dostie@mcgill.ca --> 8-18 edit: both confirmed this time","dr. hales other labs- attended workshop in 110, same workshop but they have electronic screens in addition. signed a competition waver for each hood they used in different rooms. "
