,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
2013-10-24 17:00:00-05:00,1,1,,175.0,0,175.0,316.6151141066666,207.65024000000003,77.0498013919623,262.13267705333334,316.6151141066666,207.65024000000003,141.61511410666662,32.650240000000025
2013-10-24 18:00:00-05:00,1,1,,175.0,0,175.0,295.09758207999994,207.65024,61.834608581507766,251.37391103999997,295.09758207999994,207.65024,120.09758207999994,32.65024
2013-10-24 19:00:00-05:00,1,1,,175.0,0,175.0,316.6151141066666,207.41480888888887,77.21627632713164,262.01496149777773,316.6151141066666,207.41480888888887,141.61511410666662,32.41480888888887
2013-10-24 20:00:00-05:00,1,1,,175.0,0,175.0,295.09758207999994,205.53135999999998,63.33288299802842,250.31447103999994,295.09758207999994,205.53135999999998,120.09758207999994,30.531359999999978
2013-10-24 21:00:00-05:00,1,0,,175.0,0,175.0,319.68904725333334,209.76912000000002,77.72512594836398,264.7290836266667,319.68904725333334,209.76912000000002,144.68904725333334,34.769120000000015
2013-10-24 22:00:00-05:00,1,0,,175.0,0,175.0,307.39331466666664,209.76912000000002,69.03073005667554,258.5812173333333,307.39331466666664,209.76912000000002,132.39331466666664,34.769120000000015
2013-10-24 23:00:00-05:00,1,0,,175.0,0,175.0,298.17151522666666,209.76912,62.509933137909236,253.97031761333332,298.17151522666666,209.76912,123.17151522666666,34.76911999999999
2013-10-25 00:00:00-05:00,1,0,,175.0,0,175.0,304.31938152,209.76912,66.85713108375387,257.04425075999995,304.31938152,209.76912,129.31938151999998,34.76911999999999
2013-10-25 01:00:00-05:00,0,0,,175.0,0,175.0,,,,,175.0,175.0,0.0,0.0
2013-10-25 02:00:00-05:00,0,0,,175.0,0,175.0,,,,,175.0,175.0,0.0,0.0
2013-10-25 03:00:00-05:00,1,0,,175.0,0,175.0,319.68904725333334,209.76912,77.7251259483638,264.7290836266667,319.68904725333334,209.76912,144.68904725333334,34.76911999999999
2013-10-25 04:00:00-05:00,1,0,,175.0,0,175.0,304.5966000000001,209.76912,67.05315415083217,257.18286,304.5966000000001,209.76912,129.59660000000008,34.76911999999999
