,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
2013-10-24 17:00:00-05:00,4,True,211.02,700.0,488.98,170.0,1316.9701425066667,1264.2650666666666,138.60658747401357,1290.6176045866669,1316.9701425066667,1264.2650666666666,1146.9701425066667,1094.2650666666666
2013-10-24 18:00:00-05:00,4,False,185.01333333333332,700.0,514.9866666666667,170.0,1309.0447436266668,1262.85248,134.00133379336833,1285.9486118133332,1309.0447436266668,1262.85248,1139.0447436266668,1092.85248
2013-10-24 19:00:00-05:00,4,True,211.02,700.0,488.98,170.0,1327.1887422266668,1264.5004977777776,144.99985395441166,1295.8446200022222,1327.1887422266668,1264.5004977777776,1157.1887422266668,1094.5004977777776
2013-10-24 20:00:00-05:00,4,True,211.02,700.0,488.98,170.0,1278.8047459600002,1264.97136,143.59644118099507,1271.8880529799999,1278.8047459600002,1264.97136,1108.8047459600002,1094.97136
2013-10-24 21:00:00-05:00,4,True,211.02,700.0,488.98,170.0,1281.4465455866666,1264.5004977777776,136.5783627759336,1272.973521682222,1281.4465455866666,1264.5004977777776,1111.4465455866666,1094.5004977777776
2013-10-24 22:00:00-05:00,3,True,211.02,700.0,488.98,170.0,,1264.97136,,1279.96395524,170.0,1264.97136,0.0,1094.97136
2013-10-24 23:00:00-05:00,4,False,185.01333333333332,700.0,514.9866666666667,170.0,1260.9867116816667,1264.2650666666666,121.94460054458852,1262.6258891741668,1260.9867116816667,1264.2650666666666,1090.9867116816667,1094.2650666666666
2013-10-25 00:00:00-05:00,4,False,185.01333333333332,700.0,514.9866666666667,170.0,1310.1962419233334,1264.2650666666666,132.81786682544185,1287.230654295,1310.1962419233334,1264.2650666666666,1140.1962419233334,1094.2650666666666
2013-10-25 01:00:00-05:00,0,True,211.02,700.0,488.98,170.0,,,,,170.0,170.0,0.0,0.0
2013-10-25 02:00:00-05:00,0,True,211.02,700.0,488.98,170.0,,,,,170.0,170.0,0.0,0.0
2013-10-25 03:00:00-05:00,3,False,185.01333333333332,700.0,514.9866666666667,170.0,,,,,170.0,170.0,0.0,0.0
2013-10-25 04:00:00-05:00,4,False,185.01333333333332,700.0,514.9866666666667,170.0,1314.7409241866667,1264.97136,136.53086727768368,1289.8561420933333,1314.7409241866667,1264.97136,1144.7409241866667,1094.97136
2013-10-25 05:00:00-05:00,4,False,185.01333333333332,700.0,514.9866666666667,170.0,1276.4261905733333,1264.97136,130.82705151183566,1270.6987752866667,1276.4261905733333,1264.97136,1106.4261905733333,1094.97136
2013-10-25 06:00:00-05:00,4,True,211.02,700.0,488.98,170.0,1258.0511574400002,1264.97136,119.73469152413792,1261.5112587200001,1258.0511574400002,1264.97136,1088.0511574400002,1094.97136
2013-10-25 07:00:00-05:00,1,False,185.01333333333332,700.0,514.9866666666667,170.0,,,,,170.0,170.0,0.0,0.0
2013-10-25 08:00:00-05:00,1,True,211.02,700.0,488.98,170.0,,,,,170.0,170.0,0.0,0.0
2013-10-25 09:00:00-05:00,4,True,211.02,700.0,488.98,170.0,1105.6079552,1226.83152,85.71800470968212,1166.2197376,1105.6079552,1226.83152,935.6079552000001,1056.83152
2013-10-25 10:00:00-05:00,4,True,211.02,700.0,488.98,170.0,1528.3295712533334,1661.20192,104.24446443997431,1594.7657456266666,1528.3295712533334,1661.20192,1358.3295712533334,1491.20192
2013-10-25 11:00:00-05:00,3,True,211.02,700.0,488.98,170.0,,,,,170.0,170.0,0.0,0.0
2013-10-25 12:00:00-05:00,1,True,211.02,700.0,488.98,170.0,,,,,170.0,170.0,0.0,0.0
2013-10-25 13:00:00-05:00,4,True,211.02,700.0,488.98,170.0,1497.876754266667,1589.1599999999999,64.54700206679185,1543.5183771333332,1497.876754266667,1589.1599999999999,1327.876754266667,1419.1599999999999
2013-10-25 14:00:00-05:00,4,True,211.02,700.0,488.98,170.0,1516.2295779866668,1659.08304,101.01265170563073,1587.6563089933331,1516.2295779866668,1659.08304,1346.2295779866668,1489.08304
2013-10-25 15:00:00-05:00,4,True,211.02,700.0,488.98,170.0,1153.9919514666667,1224.71264,94.5092559021938,1189.3522957333334,1153.9919514666667,1224.71264,983.9919514666667,1054.71264
2013-10-25 16:00:00-05:00,4,True,211.02,700.0,488.98,170.0,1105.6079552,1225.5955066666666,84.84401130004527,1165.6017309333333,1105.6079552,1225.5955066666666,935.6079552000001,1055.5955066666666
2013-10-25 17:00:00-05:00,3,True,211.02,700.0,488.98,170.0,,,,,170.0,170.0,0.0,0.0
2013-10-25 18:00:00-05:00,4,True,211.02,700.0,488.98,170.0,1135.8479528666667,1225.77208,82.42864866255933,1180.8100164333332,1135.8479528666667,1225.77208,965.8479528666667,1055.77208
2013-10-25 19:00:00-05:00,4,True,211.02,700.0,488.98,170.0,1129.7999533333334,1226.83152,78.90120438817809,1178.3157366666667,1129.7999533333334,1226.83152,959.7999533333334,1056.83152
2013-10-25 20:00:00-05:00,4,True,211.02,700.0,488.98,170.0,1117.7039542666666,1226.83152,77.16484174444903,1172.2677371333334,1117.7039542666666,1226.83152,947.7039542666666,1056.83152
2013-10-25 21:00:00-05:00,4,False,185.01333333333332,700.0,514.9866666666667,170.0,1099.5599556666666,1226.83152,89.99458619232479,1163.1957378333332,1099.5599556666666,1226.83152,929.5599556666666,1056.83152
2013-10-25 22:00:00-05:00,1,True,211.02,700.0,488.98,170.0,,,,,170.0,170.0,0.0,0.0
2013-10-25 23:00:00-05:00,3,False,185.01333333333332,700.0,514.9866666666667,170.0,,,,,170.0,170.0,0.0,0.0
2013-10-26 00:00:00-05:00,3,False,185.01333333333332,700.0,514.9866666666667,170.0,,,,,170.0,170.0,0.0,0.0
2013-10-26 01:00:00-05:00,4,False,185.01333333333332,700.0,514.9866666666667,170.0,1135.8479528666667,1224.71264,81.67951145429896,1180.2802964333332,1135.8479528666667,1224.71264,965.8479528666667,1054.71264
2013-10-26 02:00:00-05:00,2,True,211.02,700.0,488.98,170.0,,,,,170.0,170.0,0.0,0.0
2013-10-26 03:00:00-05:00,4,False,185.01333333333332,700.0,514.9866666666667,170.0,1111.6559547333334,1224.71264,79.94314881053856,1168.1842973666667,1111.6559547333334,1224.71264,941.6559547333334,1054.71264
2013-10-26 04:00:00-05:00,2,True,211.02,700.0,488.98,170.0,,,,,170.0,170.0,0.0,0.0
