,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
2013-10-24 17:00:00-05:00,1,1,586.1199999999999,175.0,0,586.1199999999999,229.78105210666666,315.71312,60.76314792875912,272.7470860533333,586.1199999999999,586.1199999999999,0,0.0
2013-10-24 18:00:00-05:00,1,0,586.1199999999999,175.0,0,586.1199999999999,212.10558656,315.71312,73.26158947743605,263.90935328,586.1199999999999,586.1199999999999,0,0.0
2013-10-24 19:00:00-05:00,1,1,586.1199999999999,175.0,0,586.1199999999999,216.52445294666666,315.71312,70.13697909026662,266.11878647333333,586.1199999999999,586.1199999999999,0,0.0
2013-10-24 20:00:00-05:00,1,0,586.1199999999999,175.0,0,586.1199999999999,227.20311741555557,310.0627733333333,58.59062458624488,268.63294537444443,586.1199999999999,586.1199999999999,0,0.0
2013-10-24 21:00:00-05:00,1,0,448.08,175.0,0,448.08,217.61739075999998,311.47535999999997,66.36760651800236,264.54637538,448.08,448.08,0,0.0
2013-10-24 22:00:00-05:00,1,0,448.08,175.0,0,448.08,217.58274229999998,311.47535999999997,66.39210667902589,264.52905115,448.08,448.08,0,0.0
2013-10-24 23:00:00-05:00,1,0,448.08,175.0,0,448.08,209.00394891250002,311.47535999999997,72.45822965772552,260.23965445625,448.08,448.08,0,0.0
2013-10-25 00:00:00-05:00,1,0,448.08,175.0,0,448.08,225.36218572,311.47535999999997,60.89120948288689,268.41877286,448.08,448.08,0,0.0
2013-10-25 03:00:00-05:00,1,0,448.08,175.0,0,448.08,229.7345422088889,311.47535999999997,57.79948655982808,270.60495110444447,448.08,448.08,0,0.0
2013-10-25 04:00:00-05:00,1,0,448.08,175.0,0,448.08,220.94331933333333,311.47535999999997,64.01581987005626,266.20933966666666,448.08,448.08,0,0.0
2013-10-25 05:00:00-05:00,1,0,448.08,175.0,0,448.08,227.01886666666664,311.47535999999997,59.71975915123658,269.2471133333333,448.08,448.08,0,0.0
2013-10-25 06:00:00-05:00,1,0,448.08,175.0,0,448.08,209.76869835833335,311.47535999999997,71.91747013866826,260.62202917916665,448.08,448.08,0,0.0
2013-10-25 09:00:00-05:00,1,1,586.1199999999999,175.0,0,586.1199999999999,209.3863333333333,523.36336,222.01528469278946,366.3748466666666,586.1199999999999,586.1199999999999,0,0.0
2013-10-25 10:00:00-05:00,1,1,586.1199999999999,175.0,0,586.1199999999999,217.67129076,313.59423999999996,67.8277678790171,265.63276537999997,586.1199999999999,586.1199999999999,0,0.0
2013-10-25 11:00:00-05:00,1,0,586.1199999999999,175.0,0,586.1199999999999,222.33971195333334,313.59423999999996,64.5266955957761,267.9669759766666,586.1199999999999,586.1199999999999,0,0.0
2013-10-25 13:00:00-05:00,1,0,586.1199999999999,175.0,0,586.1199999999999,209.89615336666668,315.71312,74.82389467102054,262.80463668333334,586.1199999999999,586.1199999999999,0,0.0
2013-10-25 14:00:00-05:00,1,0,586.1199999999999,175.0,0,586.1199999999999,220.94331933333333,315.71312,67.01236870309764,268.32821966666666,586.1199999999999,586.1199999999999,0,0.0
2013-10-25 15:00:00-05:00,1,0,586.1199999999999,175.0,0,586.1199999999999,223.15275252666666,315.71312,65.4500635095128,269.4329362633333,586.1199999999999,586.1199999999999,0,0.0
