,occupancy,min_lab_evacuation_cfm,min_summed_hood_evacuation_cfm,min_additional_hood_evacuation_cfm,fumehood_evacuation_cfm,total_lab_evacuation
2013-10-24 17:00:00-05:00,5,3836,3000.0,0.0,,3836.0
2013-10-24 18:00:00-05:00,0,2198,3000.0,802.0,,2198.0
2013-10-24 19:00:00-05:00,1,3836,3000.0,0.0,,3836.0
2013-10-24 20:00:00-05:00,0,2198,3000.0,802.0,,2198.0
2013-10-24 21:00:00-05:00,1,3836,3000.0,0.0,3000.0,3000.0
2013-10-24 22:00:00-05:00,2,3836,3000.0,0.0,3000.0,3000.0
2013-10-24 23:00:00-05:00,1,3836,3000.0,0.0,3000.0,3000.0
2013-10-25 00:00:00-05:00,1,3836,3000.0,0.0,3000.0,3000.0
2013-10-25 01:00:00-05:00,1,3836,3000.0,0.0,3000.0,3000.0
2013-10-25 02:00:00-05:00,4,3836,3000.0,0.0,3048.46873125,3048.46873125
2013-10-25 03:00:00-05:00,1,3836,3000.0,0.0,3000.0,3000.0
2013-10-25 04:00:00-05:00,1,3836,3000.0,0.0,3031.375,3031.375
2013-10-25 05:00:00-05:00,1,3836,3000.0,0.0,3000.0,3000.0
2013-10-25 06:00:00-05:00,3,3836,3000.0,0.0,3031.375,3031.375
2013-10-25 07:00:00-05:00,1,3836,3000.0,0.0,3000.0,3000.0
2013-10-25 08:00:00-05:00,2,3836,3000.0,0.0,3031.375,3031.375
2013-10-25 09:00:00-05:00,0,2198,3000.0,802.0,3000.0,2198.0
2013-10-25 10:00:00-05:00,7,6294,3000.0,0.0,3079.59375,3079.59375
2013-10-25 11:00:00-05:00,9,6294,3000.0,0.0,3243.96871875,3243.96871875
2013-10-25 12:00:00-05:00,3,6294,3000.0,0.0,3000.0,3000.0
2013-10-25 13:00:00-05:00,3,6294,3000.0,0.0,3031.434894791667,3031.434894791667
2013-10-25 14:00:00-05:00,7,6294,3000.0,0.0,3404.9270530208337,3404.9270530208337
2013-10-25 15:00:00-05:00,8,6294,3000.0,0.0,3408.0155583333335,3408.0155583333335
2013-10-25 16:00:00-05:00,5,6294,3000.0,0.0,3157.62498125,3157.62498125
2013-10-25 17:00:00-05:00,1,3836,3000.0,0.0,3014.57498875,3014.57498875
2013-10-25 18:00:00-05:00,3,3836,3000.0,0.0,3133.16872625,3133.16872625
2013-10-25 19:00:00-05:00,2,3836,3000.0,0.0,3014.57498875,3014.57498875
2013-10-25 20:00:00-05:00,2,3836,3000.0,0.0,3014.57498875,3014.57498875
2013-10-25 21:00:00-05:00,5,3836,3000.0,0.0,3014.57498875,3014.57498875
2013-10-25 22:00:00-05:00,0,2198,3000.0,802.0,3014.57498875,2198.0
2013-10-25 23:00:00-05:00,1,3836,3000.0,0.0,3014.57498875,3014.57498875
2013-10-26 00:00:00-05:00,2,3836,3000.0,0.0,3133.16872625,3133.16872625
2013-10-26 01:00:00-05:00,1,3836,3000.0,0.0,3014.57498875,3014.57498875
2013-10-26 02:00:00-05:00,2,3836,3000.0,0.0,3014.57498875,3014.57498875
2013-10-26 03:00:00-05:00,2,3836,3000.0,0.0,3014.309366875,3014.309366875
2013-10-26 04:00:00-05:00,0,2198,3000.0,802.0,3014.2562425,2198.0
2013-10-26 05:00:00-05:00,0,2198,3000.0,802.0,3013.9687475,2198.0
2013-10-26 06:00:00-05:00,2,3836,3000.0,0.0,3013.825,3013.825
2013-10-26 07:00:00-05:00,1,3836,3000.0,0.0,3013.825,3013.825
2013-10-26 08:00:00-05:00,1,3836,3000.0,0.0,3013.9578125,3013.9578125
2013-10-26 09:00:00-05:00,1,3836,3000.0,0.0,3014.14375,3014.14375
2013-10-26 10:00:00-05:00,10,6294,3000.0,0.0,3131.9666583333333,3131.9666583333333
2013-10-26 11:00:00-05:00,4,6294,3000.0,0.0,3014.14375,3014.14375
2013-10-26 12:00:00-05:00,8,6294,3000.0,0.0,3132.20624375,3132.20624375
2013-10-26 13:00:00-05:00,6,6294,3000.0,0.0,3156.90625,3156.90625
2013-10-26 14:00:00-05:00,8,6294,3000.0,0.0,3132.20624375,3132.20624375
2013-10-26 15:00:00-05:00,4,6294,3000.0,0.0,3132.20624375,3132.20624375
2013-10-26 16:00:00-05:00,8,6294,3000.0,0.0,3156.90625,3156.90625
2013-10-26 17:00:00-05:00,2,3836,3000.0,0.0,3014.14375,3014.14375
2013-10-26 18:00:00-05:00,6,3836,3000.0,0.0,3014.14375,3014.14375
2013-10-26 19:00:00-05:00,2,3836,3000.0,0.0,3156.90625,3156.90625
2013-10-26 20:00:00-05:00,4,3836,3000.0,0.0,3014.14375,3014.14375
2013-10-26 21:00:00-05:00,0,2198,3000.0,802.0,3014.153124375,2198.0
2013-10-26 22:00:00-05:00,1,3836,3000.0,0.0,3014.153124375,3014.153124375
2013-10-26 23:00:00-05:00,1,3836,3000.0,0.0,3014.14375,3014.14375
2013-10-27 00:00:00-05:00,3,3836,3000.0,0.0,3157.3255098958334,3157.3255098958334
2013-10-27 01:00:00-05:00,2,3836,3000.0,0.0,3014.57498875,3014.57498875
