,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
2013-10-24 17:00:00-05:00,12,1.0,5475.0,3150.0,0.0,4875.0,,,,,4875.0,4875.0,0.0,0.0
2013-10-24 18:00:00-05:00,5,1.0,5475.0,3150.0,0.0,4875.0,,,,,4875.0,4875.0,0.0,0.0
2013-10-24 19:00:00-05:00,6,1.0,5475.0,3150.0,0.0,4875.0,,,,,4875.0,4875.0,0.0,0.0
2013-10-24 20:00:00-05:00,2,1.0,5475.0,3150.0,0.0,4875.0,,,,,4875.0,4875.0,0.0,0.0
2013-10-24 21:00:00-05:00,12,1.0,5475.0,3150.0,0.0,4875.0,,,,,4875.0,4875.0,0.0,0.0
2013-10-24 22:00:00-05:00,15,0.0,3017.5,3150.0,132.5,2550.0,3158.167733333333,3267.3129599999997,104.74137047438099,3212.7403466666665,3158.167733333333,3267.3129599999997,608.1677333333332,717.3129599999997
2013-10-24 23:00:00-05:00,15,1.0,5475.0,3150.0,0.0,4875.0,3162.270084893333,3267.3129599999997,101.84056986769693,3214.7915224466665,4875.0,4875.0,0.0,0.0
2013-10-25 00:00:00-05:00,15,3.0,5475.0,3150.0,0.0,4875.0,3297.508717126667,3267.3129599999997,161.19213304496367,3282.410838563333,4875.0,4875.0,0.0,0.0
2013-10-25 01:00:00-05:00,0,2.0,5475.0,3150.0,0.0,4875.0,,,,,4875.0,4875.0,0.0,0.0
2013-10-25 02:00:00-05:00,10,0.0,3017.5,3150.0,132.5,2550.0,,,,,2550.0,2550.0,0.0,0.0
2013-10-25 03:00:00-05:00,15,1.0,5475.0,3150.0,0.0,4875.0,3158.2409722844445,3267.3129599999997,104.68958271560756,3212.7769661422217,4875.0,4875.0,0.0,0.0
2013-10-25 04:00:00-05:00,0,1.0,5475.0,3150.0,0.0,4875.0,,,,,4875.0,4875.0,0.0,0.0
