,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
2013-10-24 22:00:00-05:00,15,0.0,3017.5,3150.0,132.5,2550.0,3351.069404811111,3267.3129599999997,59.224750093832526,3309.1911824055555,3351.069404811111,3267.3129599999997,801.0694048111109,717.3129599999997
2013-10-24 23:00:00-05:00,15,1.0,5475.0,3150.0,0.0,4875.0,3341.875493338889,3267.3129599999997,52.723672946400114,3304.594226669444,4875.0,4875.0,0.0,0.0
2013-10-25 00:00:00-05:00,15,3.0,5475.0,3150.0,0.0,4875.0,3530.0812878291667,3267.3129599999997,185.80526648907386,3398.6971239145832,4875.0,4875.0,0.0,0.0
2013-10-25 03:00:00-05:00,15,1.0,5475.0,3150.0,0.0,4875.0,3325.943142977778,3267.3129599999997,41.90691208115052,3296.6280514888886,4875.0,4875.0,0.0,0.0
2013-10-25 05:00:00-05:00,15,1.0,5475.0,3150.0,0.0,4875.0,3506.6634953916664,3268.3723999999997,176.12653563698007,3387.5179476958333,4875.0,4875.0,0.0,0.0
2013-10-25 09:00:00-05:00,15,1.0,5475.0,3150.0,0.0,4875.0,3443.0726345333333,3606.3337599999995,218.4476248516255,3524.7031972666664,4875.0,4875.0,0.0,0.0
2013-10-25 13:00:00-05:00,15,15.0,6294.166666666667,3150.0,0.0,5694.166666666667,6035.251652006945,4986.077786666666,808.6716342104934,5510.664719336806,6035.251652006945,5694.166666666667,341.08498534027785,0.0
2013-10-25 14:00:00-05:00,15,15.0,6294.166666666667,3150.0,0.0,5694.166666666667,5970.823293965277,5456.469146666665,655.7918361928655,5713.646220315974,5970.823293965277,5694.166666666667,276.65662729861015,0.0
2013-10-25 15:00:00-05:00,15,15.0,6294.166666666667,3150.0,0.0,5694.166666666667,4591.454174091667,4041.7635999999993,493.5008587061582,4316.6088870458325,5694.166666666667,5694.166666666667,0.0,0.0
2013-10-25 16:00:00-05:00,15,15.0,6294.166666666667,3150.0,0.0,5694.166666666667,4361.41167265,4091.2041333333327,334.8220413439033,4226.307902991666,5694.166666666667,5694.166666666667,0.0,0.0
2013-10-25 17:00:00-05:00,15,2.0,5475.0,3150.0,0.0,4875.0,3516.6477051750003,3500.389759999999,113.91864481770571,3508.5187325875,4875.0,4875.0,0.0,0.0
2013-10-26 05:00:00-05:00,15,1.0,5475.0,3150.0,0.0,4875.0,3432.3100021111113,3499.683466666666,90.84004564328343,3465.996734388889,4875.0,4875.0,0.0,0.0
2013-10-26 06:00:00-05:00,15,3.0,5475.0,3150.0,0.0,4875.0,3430.0429868,3499.948326666666,92.63035184488214,3464.995656733333,4875.0,4875.0,0.0,0.0
2013-10-26 07:00:00-05:00,15,2.0,5475.0,3150.0,0.0,4875.0,3473.9936529333336,3500.3897599999996,61.86467828777797,3487.1917064666663,4875.0,4875.0,0.0,0.0
2013-10-26 08:00:00-05:00,15,1.0,5475.0,3150.0,0.0,4875.0,3439.696320666667,3500.742906666666,85.86684210746995,3470.219613666666,4875.0,4875.0,0.0,0.0
2013-10-26 10:00:00-05:00,15,15.0,6294.166666666667,3150.0,0.0,5694.166666666667,3998.703603766666,3500.389759999999,352.36109808656,3749.5466818833333,5694.166666666667,5694.166666666667,0.0,0.0
2013-10-26 21:00:00-05:00,15,0.0,3017.5,3150.0,132.5,2550.0,3425.2156719111113,3500.213186666666,96.23106323988365,3462.714429288889,3425.2156719111113,3500.213186666666,875.2156719111113,950.2131866666659
2013-10-26 22:00:00-05:00,15,1.0,5475.0,3150.0,0.0,4875.0,3420.591337688889,3500.0366133333328,99.37610512543155,3460.313975511111,4875.0,4875.0,0.0,0.0
2013-10-27 00:00:00-05:00,15,0.0,3017.5,3150.0,132.5,2550.0,3441.209319266667,3500.3897599999996,85.04670294016032,3470.799539633333,3441.209319266667,3500.3897599999996,891.2093192666671,950.3897599999996
2013-10-27 01:00:00-05:00,15,1.0,5475.0,3150.0,0.0,4875.0,3421.287987466667,3500.389759999999,99.13321174640146,3460.838873733333,4875.0,4875.0,0.0,0.0
2013-10-27 10:00:00-05:00,15,15.0,6294.166666666667,3150.0,0.0,5694.166666666667,3991.8787424694447,3501.449199999999,346.786055174244,3746.6639712347223,5694.166666666667,5694.166666666667,0.0,0.0
2013-10-27 11:00:00-05:00,15,15.0,6294.166666666667,3150.0,0.0,5694.166666666667,3981.433611741667,3502.508639999999,338.65109519812637,3741.9711258708335,5694.166666666667,5694.166666666667,0.0,0.0
2013-10-27 14:00:00-05:00,15,15.0,6294.166666666667,3150.0,0.0,5694.166666666667,3964.172895325,3500.3897599999996,327.94419998814885,3732.2813276624997,5694.166666666667,5694.166666666667,0.0,0.0
2013-10-27 22:00:00-05:00,15,1.0,5475.0,3150.0,0.0,4875.0,3462.589652933333,3496.151999999999,69.92852402061288,3479.3708264666666,4875.0,4875.0,0.0,0.0
2013-10-27 23:00:00-05:00,15,2.0,5475.0,3150.0,0.0,4875.0,3462.1733194666667,3496.151999999999,70.22291623803038,3479.162659733333,4875.0,4875.0,0.0,0.0
2013-10-28 00:00:00-05:00,15,2.0,5475.0,3150.0,0.0,4875.0,3696.7045891148146,3496.8582933333328,183.29128123078365,3596.7814412240737,4875.0,4875.0,0.0,0.0
2013-10-28 01:00:00-05:00,15,2.0,5475.0,3150.0,0.0,4875.0,3658.0937697833333,3496.151999999999,177.9923224803744,3577.122884891666,4875.0,4875.0,0.0,0.0
2013-10-28 06:00:00-05:00,15,2.0,5475.0,3150.0,0.0,4875.0,3685.1320554444446,3494.033119999999,181.43353291034757,3589.582587722222,4875.0,4875.0,0.0,0.0
2013-10-28 09:00:00-05:00,15,1.0,5475.0,3150.0,0.0,4875.0,3506.449806233333,3516.6345066666663,109.34268374611715,3511.5421564499998,4875.0,4875.0,0.0,0.0
2013-10-28 12:00:00-05:00,15,15.0,6294.166666666667,3150.0,0.0,5694.166666666667,5641.468359286111,4762.006226666666,708.9878998923073,5201.737292976388,5694.166666666667,5694.166666666667,0.0,0.0
2013-10-28 13:00:00-05:00,15,15.0,6294.166666666667,3150.0,0.0,5694.166666666667,7285.567579252777,5711.087893333332,1213.6318048310588,6498.327736293056,7285.567579252777,5711.087893333332,1591.4009125861103,16.92122666666546
2013-10-28 15:00:00-05:00,15,15.0,6294.166666666667,3150.0,0.0,5694.166666666667,7333.034226118056,6884.594266666666,488.48471701745655,7108.814246392361,7333.034226118056,6884.594266666666,1638.8675594513888,1190.427599999999
2013-10-28 17:00:00-05:00,15,2.0,5475.0,3150.0,0.0,4875.0,3380.5172898583332,3760.305706666667,313.1787984978309,3570.411498262499,4875.0,4875.0,0.0,0.0
2013-10-28 22:00:00-05:00,15,1.0,5475.0,3150.0,0.0,4875.0,3423.5090112666667,3188.237535555555,166.3620558949943,3305.873273411111,4875.0,4875.0,0.0,0.0
2013-10-28 23:00:00-05:00,15,1.0,5475.0,3150.0,0.0,4875.0,3217.5170064666668,3189.6206933333333,19.805254981221992,3203.5688499,4875.0,4875.0,0.0,0.0
2013-10-29 02:00:00-05:00,15,1.0,5475.0,3150.0,0.0,4875.0,3234.168,3186.9132355555553,33.41416438204088,3210.540617777778,4875.0,4875.0,0.0,0.0
2013-10-29 03:00:00-05:00,15,1.0,5475.0,3150.0,0.0,4875.0,3234.168,3188.9143999999997,31.999127433008425,3211.5411999999997,4875.0,4875.0,0.0,0.0
2013-10-29 05:00:00-05:00,15,0.0,3017.5,3150.0,132.5,2550.0,3234.168,3187.266382222222,33.164451979122944,3210.717191111111,3234.168,3187.266382222222,684.1680000000001,637.2663822222221
2013-10-29 06:00:00-05:00,15,2.0,5475.0,3150.0,0.0,4875.0,3225.6,3187.501813333333,26.939486142949505,3206.5509066666664,4875.0,4875.0,0.0,0.0
2013-10-29 13:00:00-05:00,15,15.0,6294.166666666667,3150.0,0.0,5694.166666666667,4836.007122014585,4671.777253333333,311.45210039163186,4753.892187673959,5694.166666666667,5694.166666666667,0.0,0.0
2013-10-29 14:00:00-05:00,15,15.0,6294.166666666667,3150.0,0.0,5694.166666666667,6905.713465833333,6390.542079999998,817.1235388905898,6648.127772916667,6905.713465833333,6390.542079999998,1211.5467991666665,696.3754133333314
2013-10-29 15:00:00-05:00,15,15.0,6294.166666666667,3150.0,0.0,5694.166666666667,7026.358254834722,6839.038346666666,560.7301860434337,6932.698300750693,7026.358254834722,6839.038346666666,1332.1915881680552,1144.8716799999993
2013-10-29 16:00:00-05:00,15,15.0,6294.166666666667,3150.0,0.0,5694.166666666667,5095.493934038888,3847.7683644444446,882.275211320004,4471.631149241666,5694.166666666667,5694.166666666667,0.0,0.0
