,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean,fumehood
2013-10-24 17:00:00-05:00,39.715,241.55231999999998,False,210.0,22.310859434167554,225.77616,ottomaass-001-6__otto-36
2013-10-24 18:00:00-05:00,39.715,241.55231999999998,False,218.16773333333333,16.535399807244165,229.86002666666667,ottomaass-001-6__otto-36
2013-10-24 19:00:00-05:00,,,True,,,,ottomaass-001-6__otto-36
2013-10-24 20:00:00-05:00,,,False,,,,ottomaass-001-6__otto-36
2013-10-24 21:00:00-05:00,39.715,241.55231999999998,False,211.81333333333333,21.02863913761643,226.68282666666664,ottomaass-001-6__otto-36
2013-10-24 22:00:00-05:00,39.71500000000001,241.55231999999992,False,210.0,22.31085943416853,225.77615999999995,ottomaass-001-6__otto-36
2013-10-24 23:00:00-05:00,39.71833308333334,241.55231999999992,False,210.0,22.31085943416853,225.77615999999995,ottomaass-001-6__otto-36
2013-10-25 00:00:00-05:00,39.72166616666667,241.55231999999992,False,213.9673750844445,19.50550160844667,227.75984754222222,ottomaass-001-6__otto-36
2013-10-25 01:00:00-05:00,39.715,241.55231999999998,False,210.0,22.310859434167554,225.77616,ottomaass-001-6__otto-36
2013-10-25 02:00:00-05:00,39.715,241.55231999999998,False,220.28586666666666,15.037653363787872,230.9190933333333,ottomaass-001-6__otto-36
2013-10-25 03:00:00-05:00,39.728332333333334,241.55231999999992,True,337.4259692844444,67.79290754613142,289.4891446422222,ottomaass-001-6__otto-36
2013-10-25 04:00:00-05:00,39.754996999999996,241.55231999999998,False,212.02665066666665,20.877801004671255,226.78948533333332,ottomaass-001-6__otto-36
2013-10-25 05:00:00-05:00,39.754996999999996,241.55231999999998,False,210.0,22.310859434167554,225.77616,ottomaass-001-6__otto-36
2013-10-25 06:00:00-05:00,39.754996999999996,241.55231999999998,False,218.38745018666665,16.38003653031149,229.96988509333332,ottomaass-001-6__otto-36
2013-10-25 07:00:00-05:00,39.754996999999996,241.55231999999998,False,210.0,22.310859434167554,225.77616,ottomaass-001-6__otto-36
2013-10-25 08:00:00-05:00,,,False,,,,ottomaass-001-6__otto-36
2013-10-25 09:00:00-05:00,39.715,237.31455999999997,False,218.16773333333333,13.538850974203575,227.74114666666665,ottomaass-001-6__otto-36
2013-10-25 10:00:00-05:00,39.715,237.31455999999997,True,344.1966666666667,75.57706241150385,290.7556133333334,ottomaass-001-6__otto-36
2013-10-25 11:00:00-05:00,,,True,,,,ottomaass-001-6__otto-36
2013-10-25 12:00:00-05:00,,,True,,,,ottomaass-001-6__otto-36
2013-10-25 13:00:00-05:00,39.7469976,239.43343999999996,True,347.9187189920001,76.71067643415766,293.67607949600006,ottomaass-001-6__otto-36
2013-10-25 14:00:00-05:00,39.741664666666665,239.43344,True,351.31631565333333,79.1131400731235,295.37487782666665,ottomaass-001-6__otto-36
2013-10-25 15:00:00-05:00,17.279999,209.76912,True,210.0,0.163256813643026,209.88456,ottomaass-001-6__otto-36
2013-10-25 16:00:00-05:00,17.303333666666667,209.76911999999996,True,210.0,0.16325681368759354,209.88455999999996,ottomaass-001-6__otto-36
2013-10-25 17:00:00-05:00,17.315001,209.76911999999996,False,210.0,0.16325681368759354,209.88455999999996,ottomaass-001-6__otto-36
2013-10-25 18:00:00-05:00,17.315001000000002,209.76912000000002,False,210.0,0.16325681359845842,209.88456000000002,ottomaass-001-6__otto-36
2013-10-25 19:00:00-05:00,17.279999,209.76911999999996,False,210.0,0.16325681368759354,209.88455999999996,ottomaass-001-6__otto-36
2013-10-25 20:00:00-05:00,,,False,,,,ottomaass-001-6__otto-36
2013-10-25 21:00:00-05:00,,,False,,,,ottomaass-001-6__otto-36
2013-10-25 22:00:00-05:00,,,False,,,,ottomaass-001-6__otto-36
2013-10-25 23:00:00-05:00,,,False,,,,ottomaass-001-6__otto-36
2013-10-26 00:00:00-05:00,,,False,,,,ottomaass-001-6__otto-36
2013-10-26 01:00:00-05:00,,,False,,,,ottomaass-001-6__otto-36
2013-10-26 02:00:00-05:00,,,False,,,,ottomaass-001-6__otto-36
2013-10-26 03:00:00-05:00,,,False,,,,ottomaass-001-6__otto-36
2013-10-26 04:00:00-05:00,,,False,,,,ottomaass-001-6__otto-36
2013-10-26 05:00:00-05:00,17.31062575,209.76911999999996,False,210.0,0.16325681368759354,209.88455999999996,ottomaass-001-6__otto-36
2013-10-26 06:00:00-05:00,17.306250499999997,209.76911999999996,False,210.0,0.16325681368759354,209.88455999999996,ottomaass-001-6__otto-36
2013-10-26 07:00:00-05:00,17.279999,209.76911999999996,False,210.0,0.16325681368759354,209.88455999999996,ottomaass-001-6__otto-36
2013-10-26 08:00:00-05:00,17.295908999999998,209.76911999999996,False,210.0,0.16325681368759354,209.88455999999996,ottomaass-001-6__otto-36
2013-10-26 09:00:00-05:00,17.315001000000002,209.76912000000002,False,210.0,0.16325681359845842,209.88456000000002,ottomaass-001-6__otto-36
2013-10-26 10:00:00-05:00,17.315001,209.76911999999996,True,210.0,0.16325681368759354,209.88455999999996,ottomaass-001-6__otto-36
2013-10-26 11:00:00-05:00,,,True,,,,ottomaass-001-6__otto-36
2013-10-26 12:00:00-05:00,,,True,,,,ottomaass-001-6__otto-36
2013-10-26 13:00:00-05:00,,,True,,,,ottomaass-001-6__otto-36
2013-10-26 14:00:00-05:00,,,True,,,,ottomaass-001-6__otto-36
2013-10-26 15:00:00-05:00,,,True,,,,ottomaass-001-6__otto-36
2013-10-26 16:00:00-05:00,,,True,,,,ottomaass-001-6__otto-36
2013-10-26 17:00:00-05:00,17.279999,209.76912000000002,True,210.0,0.16325681359845842,209.88456000000002,ottomaass-001-6__otto-36
2013-10-26 18:00:00-05:00,17.315001,209.76911999999996,False,210.0,0.16325681368759354,209.88455999999996,ottomaass-001-6__otto-36
2013-10-26 19:00:00-05:00,,,False,,,,ottomaass-001-6__otto-36
2013-10-26 20:00:00-05:00,,,False,,,,ottomaass-001-6__otto-36
