,minimum_evac,hood_unadjusted_sum,hood_adjusted_sum
2013-10-24 17:00:00-05:00,1098,1681.28123125,1681.28123125
2013-10-24 18:00:00-05:00,1098,1681.2812312499998,1681.2812312499998
2013-10-24 19:00:00-05:00,1098,1681.2812312499998,1681.2812312499998
2013-10-24 20:00:00-05:00,1098,1681.2812312499998,1681.2812312499998
2013-10-24 21:00:00-05:00,1098,1681.2812312499998,1681.2812312499998
2013-10-24 22:00:00-05:00,1098,1680.9478953125,1680.9478953125
2013-10-24 23:00:00-05:00,1098,1680.6432036458332,1680.6432036458332
2013-10-25 00:00:00-05:00,1098,1680.6432036458332,1680.6432036458332
2013-10-25 01:00:00-05:00,1098,1680.5624687499999,1680.5624687499999
2013-10-25 02:00:00-05:00,1098,1680.5833026041666,1680.5833026041666
2013-10-25 03:00:00-05:00,1098,1680.765602083333,1680.765602083333
2013-10-25 04:00:00-05:00,1098,1680.8124749999997,1680.8124749999997
2013-10-25 05:00:00-05:00,1098,1680.8124749999997,1680.8124749999997
2013-10-25 06:00:00-05:00,1098,1680.8124749999997,1680.8124749999997
2013-10-25 07:00:00-05:00,1098,1680.8124749999997,1680.8124749999997
2013-10-25 08:00:00-05:00,1098,1680.8124749999997,1680.8124749999997
2013-10-25 09:00:00-05:00,1098,1749.5624770833333,1749.5624770833333
2013-10-25 10:00:00-05:00,2521,2060.0833062499996,2521.0
2013-10-25 11:00:00-05:00,2521,2408.0832979166667,2521.0
2013-10-25 12:00:00-05:00,2521,2236.9708062500004,2521.0
2013-10-25 13:00:00-05:00,2521,2419.124089756944,2521.0
2013-10-25 14:00:00-05:00,2521,2751.7733982638892,2751.7733982638892
2013-10-25 15:00:00-05:00,2521,2840.304643055556,2840.304643055556
2013-10-25 16:00:00-05:00,2521,2568.8270291666668,2568.8270291666668
2013-10-25 17:00:00-05:00,1098,1959.2109052083335,1959.2109052083335
2013-10-25 18:00:00-05:00,1098,1959.0937125,1959.0937125
2013-10-25 19:00:00-05:00,1098,1959.0937125,1959.0937125
2013-10-25 20:00:00-05:00,1098,1959.0937125,1959.0937125
2013-10-25 21:00:00-05:00,1098,1959.0937125,1959.0937125
2013-10-25 22:00:00-05:00,1098,1959.0937125,1959.0937125
2013-10-25 23:00:00-05:00,1098,1959.0937125,1959.0937125
2013-10-26 00:00:00-05:00,1098,1959.0937125,1959.0937125
2013-10-26 01:00:00-05:00,1098,1959.0937125,1959.0937125
2013-10-26 02:00:00-05:00,1098,1959.0937125,1959.0937125
2013-10-26 03:00:00-05:00,1098,1959.0937125,1959.0937125
2013-10-26 04:00:00-05:00,1098,1959.0937125,1959.0937125
2013-10-26 05:00:00-05:00,1098,1959.1171510416668,1959.1171510416668
2013-10-26 06:00:00-05:00,1098,1959.1405895833334,1959.1405895833334
2013-10-26 07:00:00-05:00,1098,1959.23434375,1959.23434375
2013-10-26 08:00:00-05:00,1098,1959.1640281250002,1959.1640281250002
2013-10-26 09:00:00-05:00,1098,1959.0937125,1959.0937125
2013-10-26 10:00:00-05:00,2521,2565.5811895833335,2565.5811895833335
2013-10-26 11:00:00-05:00,2521,2201.8728687499997,2521.0
2013-10-26 12:00:00-05:00,2521,2325.531195833333,2521.0
2013-10-26 13:00:00-05:00,2521,2129.385375,2521.0
2013-10-26 14:00:00-05:00,2521,2372.16453125,2521.0
2013-10-26 15:00:00-05:00,2521,2668.72701875,2668.72701875
2013-10-26 16:00:00-05:00,2521,2402.51035625,2521.0
2013-10-26 17:00:00-05:00,1098,1958.7343437499999,1958.7343437499999
2013-10-26 18:00:00-05:00,1098,1958.374975,1958.374975
2013-10-26 19:00:00-05:00,1098,1958.374975,1958.374975
2013-10-26 20:00:00-05:00,1098,1958.374975,1958.374975
2013-10-26 21:00:00-05:00,1098,1958.9010203125001,1958.9010203125001
2013-10-26 22:00:00-05:00,1098,1959.3020546875,1959.3020546875
2013-10-26 23:00:00-05:00,1098,1959.3749750000002,1959.3749750000002
2013-10-27 00:00:00-05:00,1098,1959.1379927083335,1959.1379927083335
2013-10-27 01:00:00-05:00,1098,1959.3515364583336,1959.3515364583336
2013-10-27 02:00:00-05:00,1098,1959.3749750000002,1959.3749750000002
2013-10-27 03:00:00-05:00,1098,1959.3749750000002,1959.3749750000002
2013-10-27 04:00:00-05:00,1098,1959.3749750000002,1959.3749750000002
2013-10-27 05:00:00-05:00,1098,1959.3749750000002,1959.3749750000002
2013-10-27 06:00:00-05:00,1098,1959.3749750000002,1959.3749750000002
2013-10-27 07:00:00-05:00,1098,1959.3749750000002,1959.3749750000002
2013-10-27 08:00:00-05:00,1098,1959.3749750000002,1959.3749750000002
2013-10-27 09:00:00-05:00,1098,1959.3749750000002,1959.3749750000002
2013-10-27 10:00:00-05:00,1098,2302.1949338541667,2302.1949338541667
2013-10-27 11:00:00-05:00,2521,2159.8836270833335,2521.0
2013-10-27 12:00:00-05:00,2521,2271.272875,2521.0
2013-10-27 13:00:00-05:00,2521,2426.2256333333335,2521.0
2013-10-27 14:00:00-05:00,2521,2395.2895557291668,2521.0
2013-10-27 15:00:00-05:00,1098,2873.768729166667,2873.768729166667
2013-10-27 16:00:00-05:00,2521,2352.5937187500003,2521.0
2013-10-27 17:00:00-05:00,1098,1958.6562375,1958.6562375
2013-10-27 18:00:00-05:00,1098,1958.6562375,1958.6562375
2013-10-27 19:00:00-05:00,1098,1958.6562375,1958.6562375
2013-10-27 20:00:00-05:00,1098,1958.6562375,1958.6562375
2013-10-27 21:00:00-05:00,1098,1958.6562375,1958.6562375
2013-10-27 22:00:00-05:00,1098,1958.6093604166667,1958.6093604166667
2013-10-27 23:00:00-05:00,1098,1958.5624833333334,1958.5624833333334
2013-10-28 00:00:00-05:00,1098,1958.6093604166667,1958.6093604166667
2013-10-28 01:00:00-05:00,1098,1958.4218520833333,1958.4218520833333
2013-10-28 02:00:00-05:00,1098,1958.374975,1958.374975
2013-10-28 03:00:00-05:00,1098,1958.374975,1958.374975
2013-10-28 04:00:00-05:00,1098,1958.374975,1958.374975
2013-10-28 05:00:00-05:00,1098,1958.374975,1958.374975
2013-10-28 06:00:00-05:00,1098,1958.4921677083335,1958.4921677083335
2013-10-28 07:00:00-05:00,1098,1958.374975,1958.374975
2013-10-28 08:00:00-05:00,1098,1958.374975,1958.374975
2013-10-28 09:00:00-05:00,1098,1958.374975,1958.374975
2013-10-28 10:00:00-05:00,2521,2667.529122916667,2667.529122916667
2013-10-28 11:00:00-05:00,2521,2228.77079375,2521.0
2013-10-28 12:00:00-05:00,2521,2556.5086293402774,2556.5086293402774
2013-10-28 13:00:00-05:00,2521,2458.638531944445,2521.0
2013-10-28 14:00:00-05:00,2521,2918.1062062500005,2918.1062062500005
2013-10-28 15:00:00-05:00,2521,2236.246486979167,2521.0
2013-10-28 16:00:00-05:00,2521,2048.4548347222226,2521.0
2013-10-28 17:00:00-05:00,1098,1824.9296661458336,1824.9296661458336
2013-10-28 18:00:00-05:00,1098,1824.8749750000002,1824.8749750000002
2013-10-28 19:00:00-05:00,1098,1824.8749750000002,1824.8749750000002
2013-10-28 20:00:00-05:00,1098,1824.8749750000002,1824.8749750000002
2013-10-28 21:00:00-05:00,1098,1824.8749750000002,1824.8749750000002
2013-10-28 22:00:00-05:00,1098,1824.945290625,1824.945290625
2013-10-28 23:00:00-05:00,1098,1824.8749750000002,1824.8749750000002
2013-10-29 00:00:00-05:00,1098,1824.8749750000002,1824.8749750000002
2013-10-29 01:00:00-05:00,1098,1824.9296697916668,1824.9296697916668
2013-10-29 02:00:00-05:00,1098,1824.1562125,1824.1562125
2013-10-29 03:00:00-05:00,1098,1824.1562125,1824.1562125
2013-10-29 04:00:00-05:00,1098,1824.1562125,1824.1562125
2013-10-29 05:00:00-05:00,1098,1824.161421875,1824.161421875
2013-10-29 06:00:00-05:00,1098,1824.2030932291668,1824.2030932291668
2013-10-29 07:00:00-05:00,1098,1824.4374750000002,1824.4374750000002
2013-10-29 08:00:00-05:00,1098,1824.4374750000002,1824.4374750000002
2013-10-29 09:00:00-05:00,1098,1824.4374750000002,1824.4374750000002
2013-10-29 10:00:00-05:00,2521,2425.2603687500005,2521.0
2013-10-29 11:00:00-05:00,2521,2345.4999275,2521.0
2013-10-29 12:00:00-05:00,2521,2377.682250347223,2521.0
2013-10-29 13:00:00-05:00,1098,2387.5450831597223,2387.5450831597223
2013-10-29 14:00:00-05:00,2521,2209.075484375,2521.0
2013-10-29 15:00:00-05:00,2521,2568.4362894166666,2568.4362894166666
2013-10-29 16:00:00-05:00,2521,2313.411609611111,2521.0
2013-10-29 17:00:00-05:00,1098,1955.5412019999999,1955.5412019999999
2013-10-29 18:00:00-05:00,1098,1911.5177707500002,1911.5177707500002
2013-10-29 19:00:00-05:00,1098,1790.4032098125,1790.4032098125
2013-10-29 20:00:00-05:00,1098,1756.8849770000002,1756.8849770000002
2013-10-29 21:00:00-05:00,1098,1756.8849770000002,1756.8849770000002
2013-10-29 22:00:00-05:00,1098,1756.8849770000002,1756.8849770000002
2013-10-29 23:00:00-05:00,1098,1756.8849770000002,1756.8849770000002
2013-10-30 00:00:00-05:00,1098,1756.8849770000002,1756.8849770000002
2013-10-30 01:00:00-05:00,1098,1756.8849770000002,1756.8849770000002
2013-10-30 02:00:00-05:00,1098,1756.8849770000002,1756.8849770000002
2013-10-30 03:00:00-05:00,1098,1756.8849770000002,1756.8849770000002
2013-10-30 04:00:00-05:00,1098,1756.8849770000002,1756.8849770000002
2013-10-30 05:00:00-05:00,1098,1756.7443566875002,1756.7443566875002
2013-10-30 06:00:00-05:00,1098,1756.6974832500002,1756.6974832500002
2013-10-30 07:00:00-05:00,1098,1756.6974832500002,1756.6974832500002
2013-10-30 08:00:00-05:00,1098,1768.7938275208335,1768.7938275208335
2013-10-30 09:00:00-05:00,1098,1831.8849770000002,1831.8849770000002
2013-10-30 10:00:00-05:00,2521,2125.2440663541665,2521.0
2013-10-30 11:00:00-05:00,2521,2454.9439799513893,2521.0
2013-10-30 12:00:00-05:00,2521,1880.7495603333336,2521.0
2013-10-30 13:00:00-05:00,2521,2035.8843186666668,2521.0
2013-10-30 14:00:00-05:00,2521,2498.204095,2521.0
2013-10-30 15:00:00-05:00,2521,2531.7782816111117,2531.7782816111117
2013-10-30 16:00:00-05:00,2521,2163.514793625,2521.0
2013-10-30 17:00:00-05:00,1098,1828.0937187500003,1828.0937187500003
2013-10-30 18:00:00-05:00,1098,1828.0937187500003,1828.0937187500003
2013-10-30 19:00:00-05:00,1098,1828.01559375,1828.01559375
2013-10-30 20:00:00-05:00,1098,1827.81248125,1827.81248125
2013-10-30 21:00:00-05:00,1098,1827.7499770833333,1827.7499770833333
2013-10-30 22:00:00-05:00,1098,1827.81248125,1827.81248125
2013-10-30 23:00:00-05:00,1098,1827.8749770833333,1827.8749770833333
2013-10-31 00:00:00-05:00,1098,1827.9843447916667,1827.9843447916667
2013-10-31 01:00:00-05:00,1098,1827.9999697916667,1827.9999697916667
2013-10-31 02:00:00-05:00,1098,1827.99996875,1827.99996875
2013-10-31 03:00:00-05:00,1098,1827.9218489583334,1827.9218489583334
2013-10-31 04:00:00-05:00,1098,1827.81248125,1827.81248125
2013-10-31 05:00:00-05:00,1098,1827.81248125,1827.81248125
2013-10-31 06:00:00-05:00,1098,1827.81248125,1827.81248125
2013-10-31 07:00:00-05:00,1098,1827.81248125,1827.81248125
2013-10-31 08:00:00-05:00,1098,1864.4817432291668,1864.4817432291668
2013-10-31 09:00:00-05:00,1098,1937.46871875,1937.46871875
2013-10-31 10:00:00-05:00,2521,2625.592623541667,2625.592623541667
2013-10-31 11:00:00-05:00,2521,2528.049822840278,2528.049822840278
2013-10-31 12:00:00-05:00,2521,2376.0822152083333,2521.0
2013-10-31 13:00:00-05:00,2521,2732.1464461111113,2732.1464461111113
2013-10-31 14:00:00-05:00,2521,2243.091717583334,2521.0
2013-10-31 15:00:00-05:00,2521,2433.4728728333334,2521.0
2013-10-31 16:00:00-05:00,2521,2867.0520325,2867.0520325
2013-10-31 17:00:00-05:00,1098,1879.6614359375,1879.6614359375
2013-10-31 18:00:00-05:00,1098,1763.74998125,1763.74998125
2013-10-31 19:00:00-05:00,1098,1763.74998125,1763.74998125
2013-10-31 20:00:00-05:00,1098,1763.8593526041666,1763.8593526041666
2013-10-31 21:00:00-05:00,1098,1763.937475,1763.937475
2013-10-31 22:00:00-05:00,1098,1764.07810625,1764.07810625
2013-10-31 23:00:00-05:00,1098,1764.2187375,1764.2187375
2013-11-01 00:00:00-05:00,1098,1764.07810625,1764.07810625
2013-11-01 01:00:00-05:00,1098,1763.937475,1763.937475
2013-11-01 02:00:00-05:00,1098,1763.937475,1763.937475
2013-11-01 03:00:00-05:00,1098,1763.937475,1763.937475
2013-11-01 04:00:00-05:00,1098,1763.74998125,1763.74998125
2013-11-01 05:00:00-05:00,1098,1763.74998125,1763.74998125
2013-11-01 06:00:00-05:00,1098,1763.8880057291667,1763.8880057291667
2013-11-01 07:00:00-05:00,1098,1764.0208166666666,1764.0208166666666
2013-11-01 08:00:00-05:00,1098,1763.74998125,1763.74998125
2013-11-01 09:00:00-05:00,1098,1763.74998125,1763.74998125
2013-11-01 10:00:00-05:00,2521,2025.2603791666666,2521.0
2013-11-01 11:00:00-05:00,2521,2234.6041654166665,2521.0
2013-11-01 12:00:00-05:00,2521,2348.802063333333,2521.0
2013-11-01 13:00:00-05:00,2521,2157.031191666667,2521.0
2013-11-01 14:00:00-05:00,2521,1854.3202786458332,2521.0
2013-11-01 15:00:00-05:00,2521,2481.9726796944447,2521.0
2013-11-01 16:00:00-05:00,2521,2799.9426233333334,2799.9426233333334
2013-11-01 17:00:00-05:00,1098,1908.206204,1908.206204
2013-11-01 18:00:00-05:00,1098,1908.206204,1908.206204
2013-11-01 19:00:00-05:00,1098,1892.6458041666667,1892.6458041666667
2013-11-01 20:00:00-05:00,1098,1893.1249625000003,1893.1249625000003
2013-11-01 21:00:00-05:00,1098,1893.1249625000003,1893.1249625000003
2013-11-01 22:00:00-05:00,1098,1893.1249625000003,1893.1249625000003
2013-11-01 23:00:00-05:00,1098,1763.9635177083333,1763.9635177083333
2013-11-02 00:00:00-05:00,1098,1763.9895604166666,1763.9895604166666
2013-11-02 01:00:00-05:00,1098,1764.026015625,1764.026015625
2013-11-02 02:00:00-05:00,1098,1763.937475,1763.937475
