,minimum_evac,hood_unadjusted_sum,hood_adjusted_sum
2013-10-24 17:00:00-05:00,3671,3200.0,3671.0
2013-10-24 18:00:00-05:00,3671,3200.0,3671.0
2013-10-24 19:00:00-05:00,3671,3200.0,3671.0
2013-10-24 20:00:00-05:00,3671,3200.0,3671.0
2013-10-24 21:00:00-05:00,3671,3200.0,3671.0
2013-10-24 22:00:00-05:00,3671,3200.0,3671.0
2013-10-24 23:00:00-05:00,3671,3200.0,3671.0
2013-10-25 00:00:00-05:00,3671,3200.0,3671.0
2013-10-25 01:00:00-05:00,3671,3200.0,3671.0
2013-10-25 02:00:00-05:00,3671,3200.0,3671.0
2013-10-25 03:00:00-05:00,3671,3200.0,3671.0
2013-10-25 04:00:00-05:00,3671,3200.0,3671.0
2013-10-25 05:00:00-05:00,3671,3200.0,3671.0
2013-10-25 06:00:00-05:00,3671,3200.0,3671.0
2013-10-25 07:00:00-05:00,3671,3200.0,3671.0
2013-10-25 08:00:00-05:00,3671,3200.0,3671.0
2013-10-25 09:00:00-05:00,3671,3200.0,3671.0
2013-10-25 10:00:00-05:00,6814,3380.6520042573784,6814.0
2013-10-25 11:00:00-05:00,6814,3462.5423179765626,6814.0
2013-10-25 12:00:00-05:00,6814,3517.315749917101,6814.0
2013-10-25 13:00:00-05:00,6814,3672.0771710092595,6814.0
2013-10-25 14:00:00-05:00,6814,3628.908722145834,6814.0
2013-10-25 15:00:00-05:00,6814,3363.2918790314307,6814.0
2013-10-25 16:00:00-05:00,6814,3596.4006839635776,6814.0
2013-10-25 17:00:00-05:00,3671,3200.0,3671.0
2013-10-25 18:00:00-05:00,3671,3200.0,3671.0
2013-10-25 19:00:00-05:00,3671,3200.0,3671.0
2013-10-25 20:00:00-05:00,3671,3200.0,3671.0
2013-10-25 21:00:00-05:00,3671,3200.0,3671.0
2013-10-25 22:00:00-05:00,3671,3200.0,3671.0
2013-10-25 23:00:00-05:00,3671,3200.0,3671.0
2013-10-26 00:00:00-05:00,3671,3200.0,3671.0
