,mcintyre-1217-1__demo-model__demo-lab-b,mcintyre-1303-1__demo-model__demo-lab-b,mcintyre-1317-1__demo-model__demo-lab-b,mcintyre-1309-1__demo-model__demo-lab-b,mcintyre-810-1__demo-model__demo-lab-b,mcintyre-1307-1__demo-model__demo-lab-b,mcintyre-1312-1__demo-model__demo-lab-b,mcintyre-815-1__demo-model__demo-lab-b,mcintyre-1003-1__demo-model__demo-lab-b,mcintyre-1002-1__demo-model__demo-lab-b,mcintyre-944-1__demo-model__demo-lab-b,mcintyre-815-2__demo-model__demo-lab-b,mcintyre-1313-1__demo-model__demo-lab-b,mcintyre-1012-1__demo-model__demo-lab-b,mcintyre-800-1__demo-model__demo-lab-b,mcintyre-800-2__demo-model__demo-lab-b,mcintyre-1314-1__demo-model__demo-lab-b,mcintyre-805-1__demo-model__demo-lab-b,mcintyre-825-1__demo-model__demo-lab-b
mcintyre-1217-1__demo-model__demo-lab-b,1.0,0.08478685778734883,-0.013419323299942918,-0.5009967152455429,0.2440943901084364,0.39069545571242875,0.337495282135261,0.37137451574841546,,,0.21622139849128752,-0.058532869612770204,-0.5828012505422843,0.0006124440657351676,0.016691308279730848,-0.05037810229291138,-0.38034902414158833,,0.010152308288398998
mcintyre-1303-1__demo-model__demo-lab-b,0.08478685778734883,1.0,0.018507074068417447,-0.05082293765991818,-0.08959950609823927,-0.15275184993824414,-0.15751368776321314,-0.002171714281113687,,,-0.0391511465763469,-0.12406992720463436,-0.06924588552429177,-0.07834738953082214,-0.04256782345688876,-0.06420798291936243,0.08206106964767582,,-0.020396946187857066
mcintyre-1317-1__demo-model__demo-lab-b,-0.013419323299942918,0.018507074068417447,1.0,0.011592411080944226,0.06238289561326147,-0.013571160683730741,-0.013130394416222402,0.06946097708641848,,,0.07601223052969426,0.1008529090724392,0.00974875968586517,0.1386098427828924,0.08049163739688912,0.10721743558663344,0.013424849333472667,,0.06416436137618528
mcintyre-1309-1__demo-model__demo-lab-b,-0.5009967152455429,-0.05082293765991818,0.011592411080944226,1.0,-0.40103307364793905,-0.7128037514912927,-0.6426103618762484,-0.6264464926678023,,,-0.44918979826383487,-0.004900586686899656,0.8855145627326425,0.0825871628066734,0.030536085182856547,0.019245207089886952,0.7099471071985917,,-0.10775031043930164
mcintyre-810-1__demo-model__demo-lab-b,0.2440943901084364,-0.08959950609823927,0.06238289561326147,-0.40103307364793905,1.0,0.3657971566864145,0.3012421107564044,0.584064817264037,,,0.27180316771020246,0.3488705193850253,-0.36214394059888216,-0.060518982661746705,0.21450609994255518,0.1733422020987352,-0.38177474592308747,,0.16500399934562365
mcintyre-1307-1__demo-model__demo-lab-b,0.39069545571242875,-0.15275184993824414,-0.013571160683730741,-0.7128037514912927,0.3657971566864145,1.0,0.9590047189612556,0.5647507053805164,,,0.3965196256349297,0.065273914537507,-0.6988953387578435,-0.08714739472613608,0.08470271416059284,0.10228610550447245,-0.8900069009189105,,0.051388414531209854
mcintyre-1312-1__demo-model__demo-lab-b,0.337495282135261,-0.15751368776321314,-0.013130394416222402,-0.6426103618762484,0.3012421107564044,0.9590047189612556,1.0,0.4949057994406242,,,0.20500462508239858,0.0768663047364653,-0.6126951352704381,-0.08063484146681373,0.10622527476320144,0.10318155895091138,-0.829595908813001,,-0.031501977313611644
mcintyre-815-1__demo-model__demo-lab-b,0.37137451574841546,-0.002171714281113687,0.06946097708641848,-0.6264464926678023,0.584064817264037,0.5647507053805164,0.4949057994406242,1.0,,,0.44285870608399147,0.47427193146900265,-0.6338650877392177,-0.05215684200156529,0.3860793937084441,0.307957615021212,-0.5446375197549996,,0.24786937637321554
mcintyre-1003-1__demo-model__demo-lab-b,,,,,,,,,,,,,,,,,,,
mcintyre-1002-1__demo-model__demo-lab-b,,,,,,,,,,,,,,,,,,,
