,ottomaass-230-9__mcgill-standard__otto-mass-119-230,ottomaass-230-16__mcgill-standard__otto-mass-119-230,ottomaass-230-13__mcgill-standard__otto-mass-119-230,ottomaass-230-8__mcgill-standard__otto-mass-119-230,ottomaass-230-16__mcgill-standard__otto-mass-119-230,ottomaass-230-4__mcgill-standard__otto-mass-119-230,ottomaass-230-18__mcgill-standard__otto-mass-119-230,ottomaass-230-13__mcgill-standard__otto-mass-119-230,ottomaass-230-2__mcgill-standard__otto-mass-119-230,ottomaass-230-9__mcgill-standard__otto-mass-119-230,ottomaass-230-2__mcgill-standard__otto-mass-119-230,ottomaass-230-9__mcgill-standard__otto-mass-119-230,ottomaass-230-16__mcgill-standard__otto-mass-119-230,ottomaass-230-16__mcgill-standard__otto-mass-119-230,ottomaass-230-9__mcgill-standard__otto-mass-119-230
2013-10-24 17:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-24 18:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-24 18:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-24 19:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-24 19:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-24 20:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-24 20:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-24 21:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-24 21:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-24 22:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-24 22:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-24 23:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-24 23:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 00:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 00:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 01:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 01:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 02:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 02:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 03:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 03:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 04:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 04:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 05:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 05:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 06:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 06:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 07:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 07:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 08:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 08:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 09:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 09:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 10:00:00-05:00,200.0,200.0,200.0,237.62500000000006,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 10:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,232.37499375000002,200.0,200.0
2013-10-25 11:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,288.32811875,288.32811875,200.0
2013-10-25 11:30:00-05:00,200.0,200.0,250.65624999999994,237.62500000000006,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 12:00:00-05:00,200.0,200.0,250.65624999999994,237.62500000000006,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 12:30:00-05:00,200.0,200.0,250.65624999999994,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 13:00:00-05:00,200.0,200.0,200.0,237.62500000000006,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 13:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 14:00:00-05:00,200.0,200.0,250.56249583333334,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 14:30:00-05:00,200.0,200.0,200.0,237.62500000000006,200.0,200.0,,250.3749875,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 15:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 15:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,207.05207395833332,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 16:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 16:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 17:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 17:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 18:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 18:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 19:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 19:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 20:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 20:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 21:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 21:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 22:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 22:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 23:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-25 23:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 00:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 00:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
