,minimum_evac,hood_unadjusted_sum,hood_adjusted_sum
2013-10-24 17:30:00-05:00,3017,2600.0,3017.0
2013-10-24 18:00:00-05:00,3017,2600.0,3017.0
2013-10-24 18:30:00-05:00,3017,2600.0,3017.0
2013-10-24 19:00:00-05:00,3017,2600.0,3017.0
2013-10-24 19:30:00-05:00,3017,2600.0,3017.0
2013-10-24 20:00:00-05:00,3017,2600.0,3017.0
2013-10-24 20:30:00-05:00,3017,2600.0,3017.0
2013-10-24 21:00:00-05:00,3017,2600.0,3017.0
2013-10-24 21:30:00-05:00,3017,2600.0,3017.0
2013-10-24 22:00:00-05:00,3017,2600.0,3017.0
2013-10-24 22:30:00-05:00,3017,2600.0,3017.0
2013-10-24 23:00:00-05:00,3017,2600.0,3017.0
2013-10-24 23:30:00-05:00,3017,2600.0,3017.0
2013-10-25 00:00:00-05:00,3017,2600.0,3017.0
2013-10-25 00:30:00-05:00,3017,2600.0,3017.0
2013-10-25 01:00:00-05:00,3017,2600.0,3017.0
2013-10-25 01:30:00-05:00,3017,2600.0,3017.0
2013-10-25 02:00:00-05:00,3017,2600.0,3017.0
2013-10-25 02:30:00-05:00,3017,2600.0,3017.0
2013-10-25 03:00:00-05:00,3017,2600.0,3017.0
2013-10-25 03:30:00-05:00,3017,2600.0,3017.0
2013-10-25 04:00:00-05:00,3017,2600.0,3017.0
2013-10-25 04:30:00-05:00,3017,2600.0,3017.0
2013-10-25 05:00:00-05:00,3017,2600.0,3017.0
2013-10-25 05:30:00-05:00,3017,2600.0,3017.0
2013-10-25 06:00:00-05:00,3017,2600.0,3017.0
2013-10-25 06:30:00-05:00,3017,2600.0,3017.0
2013-10-25 07:00:00-05:00,3017,2600.0,3017.0
2013-10-25 07:30:00-05:00,3017,2600.0,3017.0
2013-10-25 08:00:00-05:00,3017,2600.0,3017.0
2013-10-25 08:30:00-05:00,3017,2600.0,3017.0
2013-10-25 09:00:00-05:00,3017,2600.0,3017.0
2013-10-25 09:30:00-05:00,3017,2600.0,3017.0
2013-10-25 10:00:00-05:00,7113,2600.0,7113.0
2013-10-25 10:30:00-05:00,7113,2664.7499875,7113.0
2013-10-25 11:00:00-05:00,7113,2664.9062437499997,7113.0
2013-10-25 11:30:00-05:00,7113,2650.65625,7113.0
2013-10-25 12:00:00-05:00,7113,2650.65625,7113.0
2013-10-25 12:30:00-05:00,7113,2650.65625,7113.0
2013-10-25 13:00:00-05:00,7113,2600.0,7113.0
2013-10-25 13:30:00-05:00,7113,2664.9062437499997,7113.0
2013-10-25 14:00:00-05:00,7113,2701.1249916666666,7113.0
2013-10-25 14:30:00-05:00,7113,2714.99996875,7113.0
2013-10-25 15:00:00-05:00,7113,2700.7499749999997,7113.0
2013-10-25 15:30:00-05:00,7113,2621.302067708333,7113.0
2013-10-25 16:00:00-05:00,3017,2600.0,3017.0
2013-10-25 16:30:00-05:00,3017,2600.0,3017.0
2013-10-25 17:00:00-05:00,3017,2600.0,3017.0
2013-10-25 17:30:00-05:00,3017,2600.0,3017.0
2013-10-25 18:00:00-05:00,3017,2600.0,3017.0
2013-10-25 18:30:00-05:00,3017,2600.0,3017.0
2013-10-25 19:00:00-05:00,3017,2600.0,3017.0
2013-10-25 19:30:00-05:00,3017,2600.0,3017.0
2013-10-25 20:00:00-05:00,3017,2600.0,3017.0
2013-10-25 20:30:00-05:00,3017,2600.0,3017.0
2013-10-25 21:00:00-05:00,3017,2600.0,3017.0
2013-10-25 21:30:00-05:00,3017,2600.0,3017.0
2013-10-25 22:00:00-05:00,3017,2600.0,3017.0
2013-10-25 22:30:00-05:00,3017,2600.0,3017.0
2013-10-25 23:00:00-05:00,3017,2600.0,3017.0
2013-10-25 23:30:00-05:00,3017,2600.0,3017.0
2013-10-26 00:00:00-05:00,3017,2600.0,3017.0
2013-10-26 00:30:00-05:00,3017,2600.0,3017.0
2013-10-26 01:00:00-05:00,3017,2600.0,3017.0
2013-10-26 01:30:00-05:00,3017,2600.0,3017.0
2013-10-26 02:00:00-05:00,3017,2600.0,3017.0
2013-10-26 02:30:00-05:00,3017,2600.0,3017.0
2013-10-26 03:00:00-05:00,3017,2600.0,3017.0
2013-10-26 03:30:00-05:00,3017,2600.0,3017.0
2013-10-26 04:00:00-05:00,3017,2600.0,3017.0
2013-10-26 04:30:00-05:00,3017,2600.0,3017.0
2013-10-26 05:00:00-05:00,3017,2600.0,3017.0
2013-10-26 05:30:00-05:00,3017,2600.0,3017.0
2013-10-26 06:00:00-05:00,3017,2600.0,3017.0
2013-10-26 06:30:00-05:00,3017,2600.0,3017.0
2013-10-26 07:00:00-05:00,3017,2600.0,3017.0
2013-10-26 07:30:00-05:00,3017,2600.0,3017.0
2013-10-26 08:00:00-05:00,3017,2600.0,3017.0
2013-10-26 08:30:00-05:00,3017,2600.0,3017.0
2013-10-26 09:00:00-05:00,3017,2600.0,3017.0
2013-10-26 09:30:00-05:00,3017,2600.0,3017.0
2013-10-26 10:00:00-05:00,7113,2600.0,7113.0
2013-10-26 10:30:00-05:00,7113,2600.0,7113.0
2013-10-26 11:00:00-05:00,7113,2614.2499937499997,7113.0
2013-10-26 11:30:00-05:00,7113,2600.0,7113.0
2013-10-26 12:00:00-05:00,7113,2600.0,7113.0
2013-10-26 12:30:00-05:00,7113,2614.2499937499997,7113.0
2013-10-26 13:00:00-05:00,7113,2600.0,7113.0
2013-10-26 13:30:00-05:00,7113,2600.0,7113.0
2013-10-26 14:00:00-05:00,7113,2600.0,7113.0
2013-10-26 14:30:00-05:00,7113,2614.1666583333335,7113.0
2013-10-26 15:00:00-05:00,3836,2600.0,3836.0
2013-10-26 15:30:00-05:00,7113,2600.0,7113.0
2013-10-26 16:00:00-05:00,3017,2600.0,3017.0
2013-10-26 16:30:00-05:00,3017,2600.0,3017.0
2013-10-26 17:00:00-05:00,3017,2600.0,3017.0
2013-10-26 17:30:00-05:00,3017,2600.0,3017.0
2013-10-26 18:00:00-05:00,3017,2600.0,3017.0
2013-10-26 18:30:00-05:00,3017,2600.0,3017.0
2013-10-26 19:00:00-05:00,3017,2600.0,3017.0
2013-10-26 19:30:00-05:00,3017,2650.7250000000004,3017.0
2013-10-26 20:00:00-05:00,3017,2650.7250000000004,3017.0
2013-10-26 20:30:00-05:00,3017,2650.7250000000004,3017.0
2013-10-26 21:00:00-05:00,3017,2650.7250000000004,3017.0
2013-10-26 21:30:00-05:00,3017,2650.7250000000004,3017.0
2013-10-26 22:00:00-05:00,3017,2650.7250000000004,3017.0
2013-10-26 22:30:00-05:00,3017,2650.7250000000004,3017.0
2013-10-26 23:00:00-05:00,3017,2650.7250000000004,3017.0
