,minimum_evac,hood_unadjusted_sum,hood_adjusted_sum
2013-10-24 17:30:00-05:00,4967,4172.527716203704,4967.0
2013-10-24 18:00:00-05:00,4967,4099.824920277778,4967.0
2013-10-24 18:30:00-05:00,4967,3899.7735625000005,4967.0
2013-10-24 19:00:00-05:00,4967,4275.613125416667,4967.0
2013-10-24 19:30:00-05:00,4967,4221.099938425926,4967.0
2013-10-24 20:00:00-05:00,4967,3992.1694139814817,4967.0
2013-10-24 20:30:00-05:00,4967,4058.1638713888888,4967.0
2013-10-24 21:00:00-05:00,4967,4129.895776296296,4967.0
2013-10-24 21:30:00-05:00,4967,3772.393716944445,4967.0
2013-10-24 22:00:00-05:00,4967,3873.7339979629633,4967.0
2013-10-24 22:30:00-05:00,4967,4258.511050833334,4967.0
2013-10-24 23:00:00-05:00,4967,4039.152019166667,4967.0
2013-10-24 23:30:00-05:00,4967,4120.063368888888,4967.0
2013-10-25 00:00:00-05:00,2702,3734.2180195833334,3734.2180195833334
2013-10-25 00:30:00-05:00,2702,3734.1110722222224,3734.1110722222224
2013-10-25 01:00:00-05:00,2702,3733.8874591666668,3733.8874591666668
2013-10-25 01:30:00-05:00,2702,3733.8874591666668,3733.8874591666668
2013-10-25 02:00:00-05:00,2702,3733.8874591666668,3733.8874591666668
2013-10-25 02:30:00-05:00,2702,3733.8874591666668,3733.8874591666668
2013-10-25 03:00:00-05:00,2702,3733.8874591666668,3733.8874591666668
2013-10-25 03:30:00-05:00,2702,3733.83399375,3733.83399375
2013-10-25 04:00:00-05:00,2702,3733.8874591666668,3733.8874591666668
2013-10-25 04:30:00-05:00,2702,3733.8874591666668,3733.8874591666668
2013-10-25 05:00:00-05:00,2702,3733.216643333333,3733.216643333333
2013-10-25 05:30:00-05:00,2702,3733.2944172222224,3733.2944172222224
2013-10-25 06:00:00-05:00,2702,3733.663853888889,3733.663853888889
2013-10-25 06:30:00-05:00,2702,3733.8874591666668,3733.8874591666668
2013-10-25 07:00:00-05:00,2702,3733.8874591666668,3733.8874591666668
2013-10-25 07:30:00-05:00,2702,3733.8874591666668,3733.8874591666668
2013-10-25 08:00:00-05:00,4967,4286.922165833334,4967.0
2013-10-25 08:30:00-05:00,4967,4285.826338333333,4967.0
2013-10-25 09:00:00-05:00,4967,4030.3541044444446,4967.0
2013-10-25 09:30:00-05:00,4967,4135.787451388888,4967.0
2013-10-25 10:00:00-05:00,4967,4167.5679991666675,4967.0
2013-10-25 10:30:00-05:00,4967,4314.82448,4967.0
2013-10-25 11:00:00-05:00,4967,4758.77561375,4967.0
2013-10-25 11:30:00-05:00,4967,4384.506882222222,4967.0
2013-10-25 12:00:00-05:00,4967,4360.047167777777,4967.0
2013-10-25 12:30:00-05:00,4967,4388.687455277777,4967.0
2013-10-25 13:00:00-05:00,4967,4292.4610625,4967.0
2013-10-25 13:30:00-05:00,4967,4285.947159027777,4967.0
2013-10-25 14:00:00-05:00,4967,4618.894835462963,4967.0
2013-10-25 14:30:00-05:00,4967,4454.898063240741,4967.0
2013-10-25 15:00:00-05:00,4967,4454.83324,4967.0
2013-10-25 15:30:00-05:00,4967,4433.011717407408,4967.0
2013-10-25 16:00:00-05:00,4967,4167.87956125,4967.0
2013-10-25 16:30:00-05:00,4967,4342.963824722222,4967.0
2013-10-25 17:00:00-05:00,4967,4390.606871527777,4967.0
2013-10-25 17:30:00-05:00,4967,4276.82217425926,4967.0
2013-10-25 18:00:00-05:00,4967,4337.762433888889,4967.0
2013-10-25 18:30:00-05:00,4967,4208.399488425926,4967.0
2013-10-25 19:00:00-05:00,4967,4318.999474814815,4967.0
2013-10-25 19:30:00-05:00,4967,4146.0041200000005,4967.0
2013-10-25 20:00:00-05:00,4967,4229.066604444444,4967.0
2013-10-25 20:30:00-05:00,4967,4501.769374444444,4967.0
2013-10-25 21:00:00-05:00,4967,4207.448552777778,4967.0
2013-10-25 21:30:00-05:00,4967,4044.3930127777776,4967.0
2013-10-25 22:00:00-05:00,4967,3996.1124358333336,4967.0
2013-10-25 22:30:00-05:00,4967,4345.968006944445,4967.0
2013-10-25 23:00:00-05:00,4967,4263.474935833334,4967.0
2013-10-25 23:30:00-05:00,4967,4425.72261875,4967.0
2013-10-26 00:00:00-05:00,2702,3803.299965,3803.299965
2013-10-26 00:30:00-05:00,2702,3803.4749572222227,3803.4749572222227
2013-10-26 01:00:00-05:00,2702,3803.795775,3803.795775
2013-10-26 01:30:00-05:00,2702,3803.640227222222,3803.640227222222
2013-10-26 02:00:00-05:00,2702,3803.5624533333335,3803.5624533333335
2013-10-26 02:30:00-05:00,2702,3803.5624533333335,3803.5624533333335
2013-10-26 03:00:00-05:00,2702,3803.5624533333335,3803.5624533333335
2013-10-26 03:30:00-05:00,2702,3803.3145395833335,3803.3145395833335
2013-10-26 04:00:00-05:00,2702,3803.5624533333335,3803.5624533333335
2013-10-26 04:30:00-05:00,2702,3803.5624533333335,3803.5624533333335
2013-10-26 05:00:00-05:00,2702,3803.474957222222,3803.474957222222
2013-10-26 05:30:00-05:00,2702,3803.4749572222227,3803.4749572222227
2013-10-26 06:00:00-05:00,2702,3803.5624533333335,3803.5624533333335
2013-10-26 06:30:00-05:00,2702,3803.5624533333335,3803.5624533333335
2013-10-26 07:00:00-05:00,2702,3803.4749494444445,3803.4749494444445
2013-10-26 07:30:00-05:00,2702,3803.5624533333335,3803.5624533333335
2013-10-26 08:00:00-05:00,4967,4047.8767980555554,4967.0
2013-10-26 08:30:00-05:00,4967,3939.3589830555557,4967.0
2013-10-26 09:00:00-05:00,4967,4177.029092777778,4967.0
2013-10-26 09:30:00-05:00,4967,4251.004094722222,4967.0
2013-10-26 10:00:00-05:00,4967,4354.299943611111,4967.0
2013-10-26 10:30:00-05:00,4967,4218.824930000001,4967.0
2013-10-26 11:00:00-05:00,2702,4411.149923194444,4411.149923194444
2013-10-26 11:30:00-05:00,4967,4323.931173194444,4967.0
2013-10-26 12:00:00-05:00,4967,3945.9411473148148,4967.0
2013-10-26 12:30:00-05:00,4967,4301.740190277777,4967.0
2013-10-26 13:00:00-05:00,4967,4108.136035277778,4967.0
2013-10-26 13:30:00-05:00,4967,4086.228415833333,4967.0
2013-10-26 14:00:00-05:00,4967,4230.836046944445,4967.0
2013-10-26 14:30:00-05:00,4967,3945.7295693518518,4967.0
2013-10-26 15:00:00-05:00,4967,4279.239751296296,4967.0
2013-10-26 15:30:00-05:00,4967,4114.909646388889,4967.0
2013-10-26 16:00:00-05:00,4967,3899.9791102777776,4967.0
2013-10-26 16:30:00-05:00,4967,4526.778639537038,4967.0
2013-10-26 17:00:00-05:00,4967,4192.374020601852,4967.0
2013-10-26 17:30:00-05:00,4967,3867.0930127777783,4967.0
2013-10-26 18:00:00-05:00,4967,4071.6193783333338,4967.0
2013-10-26 18:30:00-05:00,2702,3991.2027233333333,3991.2027233333333
2013-10-26 19:00:00-05:00,4967,4312.222363935185,4967.0
2013-10-26 19:30:00-05:00,4967,4384.711721944444,4967.0
2013-10-26 20:00:00-05:00,4967,4339.0777194444445,4967.0
2013-10-26 20:30:00-05:00,2702,4910.421428611111,4910.421428611111
2013-10-26 21:00:00-05:00,2702,4523.360362222223,4523.360362222223
2013-10-26 21:30:00-05:00,4967,4347.711504722222,4967.0
2013-10-26 22:00:00-05:00,4967,4466.49530425926,4967.0
2013-10-26 22:30:00-05:00,4967,4684.501320833333,4967.0
2013-10-26 23:00:00-05:00,4967,4612.552015277777,4967.0
2013-10-26 23:30:00-05:00,4967,4486.633249722222,4967.0
2013-10-27 00:00:00-05:00,2702,3934.3999533333335,3934.3999533333335
2013-10-27 00:30:00-05:00,2702,3934.3562052777784,3934.3562052777784
2013-10-27 01:00:00-05:00,2702,3934.3999533333335,3934.3999533333335
2013-10-27 01:30:00-05:00,2702,3934.3999533333335,3934.3999533333335
2013-10-27 02:00:00-05:00,2702,3934.3999533333335,3934.3999533333335
2013-10-27 02:30:00-05:00,2702,3934.3999533333335,3934.3999533333335
2013-10-27 03:00:00-05:00,2702,3934.3999533333335,3934.3999533333335
2013-10-27 03:30:00-05:00,2702,3934.3999533333335,3934.3999533333335
2013-10-27 04:00:00-05:00,2702,3934.3999533333335,3934.3999533333335
2013-10-27 04:30:00-05:00,2702,3934.3999533333335,3934.3999533333335
2013-10-27 05:00:00-05:00,2702,3934.3999533333335,3934.3999533333335
2013-10-27 05:30:00-05:00,2702,3934.3999533333335,3934.3999533333335
2013-10-27 06:00:00-05:00,2702,3934.3999533333335,3934.3999533333335
2013-10-27 06:30:00-05:00,2702,3934.3999533333335,3934.3999533333335
2013-10-27 07:00:00-05:00,2702,3934.3999533333335,3934.3999533333335
2013-10-27 07:30:00-05:00,2702,3934.3999533333335,3934.3999533333335
2013-10-27 08:00:00-05:00,2702,4156.6652136111115,4156.6652136111115
2013-10-27 08:30:00-05:00,4967,4805.3235275,4967.0
2013-10-27 09:00:00-05:00,4967,4850.142979722222,4967.0
2013-10-27 09:30:00-05:00,4967,4366.4318977777775,4967.0
2013-10-27 10:00:00-05:00,4967,4297.763834444445,4967.0
