fumehood,,flow,open
ottomaass-230-1__mcgill-standard__otto-mass-119-230,count,2632.0,2707.0
ottomaass-230-1__mcgill-standard__otto-mass-119-230,mean,154.84612462006078,33.51878213594419
ottomaass-230-1__mcgill-standard__otto-mass-119-230,std,1803.3819749512431,5.979190796776761
ottomaass-230-1__mcgill-standard__otto-mass-119-230,min,93.0,22.754998999999998
ottomaass-230-1__mcgill-standard__otto-mass-119-230,25%,98.0,27.574999
ottomaass-230-1__mcgill-standard__otto-mass-119-230,50%,99.0,34.125
ottomaass-230-1__mcgill-standard__otto-mass-119-230,75%,106.0,37.785
ottomaass-230-1__mcgill-standard__otto-mass-119-230,max,65535.0,54.02
ottomaass-230-2__mcgill-standard__otto-mass-119-230,count,2614.0,2695.0
ottomaass-230-2__mcgill-standard__otto-mass-119-230,mean,153.51530221882172,30.01486934953585
ottomaass-230-2__mcgill-standard__otto-mass-119-230,std,1809.6728642434227,6.251048909854712
ottomaass-230-2__mcgill-standard__otto-mass-119-230,min,0.0,19.744999
ottomaass-230-2__mcgill-standard__otto-mass-119-230,25%,98.0,26.724998
ottomaass-230-2__mcgill-standard__otto-mass-119-230,50%,98.0,30.199999
ottomaass-230-2__mcgill-standard__otto-mass-119-230,75%,99.0,33.049999
ottomaass-230-2__mcgill-standard__otto-mass-119-230,max,65535.0,60.305
ottomaass-230-3__mcgill-standard__otto-mass-119-230,count,2630.0,2701.0
ottomaass-230-3__mcgill-standard__otto-mass-119-230,mean,163.42623574144486,27.45200236467998
ottomaass-230-3__mcgill-standard__otto-mass-119-230,std,1803.906548930023,10.42972433172261
ottomaass-230-3__mcgill-standard__otto-mass-119-230,min,97.0,17.24
ottomaass-230-3__mcgill-standard__otto-mass-119-230,25%,101.0,18.164998999999998
ottomaass-230-3__mcgill-standard__otto-mass-119-230,50%,110.0,24.059998999999998
ottomaass-230-3__mcgill-standard__otto-mass-119-230,75%,111.0,34.279999
ottomaass-230-3__mcgill-standard__otto-mass-119-230,max,65535.0,74.290001
ottomaass-230-4__mcgill-standard__otto-mass-119-230,count,2647.0,2721.0
ottomaass-230-4__mcgill-standard__otto-mass-119-230,mean,158.96826596146582,30.14052314810748
ottomaass-230-4__mcgill-standard__otto-mass-119-230,std,1798.3649163577375,6.343740600165989
ottomaass-230-4__mcgill-standard__otto-mass-119-230,min,92.0,19.09
ottomaass-230-4__mcgill-standard__otto-mass-119-230,25%,98.0,26.564999
ottomaass-230-4__mcgill-standard__otto-mass-119-230,50%,98.0,28.039998999999998
ottomaass-230-4__mcgill-standard__otto-mass-119-230,75%,101.0,34.09
ottomaass-230-4__mcgill-standard__otto-mass-119-230,max,65535.0,55.41
ottomaass-230-5__mcgill-standard__otto-mass-119-230,count,2658.0,2726.0
ottomaass-230-5__mcgill-standard__otto-mass-119-230,mean,152.73513920240782,30.8684750961107
ottomaass-230-5__mcgill-standard__otto-mass-119-230,std,1794.6060048545871,5.296434802896784
ottomaass-230-5__mcgill-standard__otto-mass-119-230,min,92.0,24.26
ottomaass-230-5__mcgill-standard__otto-mass-119-230,25%,97.0,28.07
ottomaass-230-5__mcgill-standard__otto-mass-119-230,50%,98.0,28.504998999999998
ottomaass-230-5__mcgill-standard__otto-mass-119-230,75%,99.0,32.125
